*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
         1960           10  1.54708e+10    0.0246866  0.000616052    0.0371967
         1965           10  1.54452e+10    0.0261118  0.000649497    0.0388497
         1970           10  1.54197e+10    0.0254966  0.000649965    0.0391029
         1975           10  1.53943e+10    0.0262277  0.000659494    0.0395545
         1980           10   1.5369e+10    0.0266152  0.000704144    0.0418668
         1985           10  1.53439e+10    0.0264881  0.000694678    0.0413056
         1990           10  1.53188e+10    0.0267655  0.000718862    0.0426684
         1995           10  1.52938e+10    0.0266205  0.000705658    0.0420113
         2000           10   1.5269e+10    0.0267035  0.000741241    0.0442228
         2005           10  1.52442e+10    0.0266688  0.000721269    0.0434419
         2010           10  1.52196e+10    0.0265294  0.000745733    0.0444302
         2015           10   1.5195e+10    0.0266772   0.00074328    0.0445122
         2020           10  1.51706e+10    0.0265972  0.000760849    0.0455449
         2025           10  1.51462e+10    0.0262421  0.000753294    0.0452821
         2030           10   1.5122e+10    0.0266885  0.000780051    0.0466885
         2035           10  1.50978e+10    0.0264069  0.000768588    0.0464169
         2040           10  1.50738e+10    0.0269979  0.000810738    0.0484661
         2045           10  1.50498e+10    0.0267362  0.000803264     0.048164
         2050           10   1.5026e+10    0.0271005   0.00082731    0.0494807
         2055           10  1.50022e+10    0.0268567  0.000817328    0.0491701
         2060           10  1.49786e+10    0.0280242  0.000870754    0.0513907
         2065           10   1.4955e+10    0.0276439  0.000868953    0.0517621
         2070           10  1.49315e+10    0.0280547  0.000889489    0.0525561
         2075           10  1.49081e+10    0.0277738  0.000883578    0.0527425
         2080           10  1.48849e+10    0.0287411  0.000910822    0.0541035
         2085           10  1.48617e+10    0.0286804  0.000934608    0.0552548
         2090           10  1.48386e+10     0.029266  0.000944066    0.0557548
         2095           10  1.48155e+10    0.0287559  0.000953278    0.0563509
         2100           10  1.47926e+10    0.0293302  0.000977634    0.0574665
         2105           10  1.47698e+10    0.0294521  0.000982427    0.0578591
         2110           10  1.47471e+10     0.029491  0.000997652    0.0587177
         2115           10  1.47244e+10    0.0295887  0.000999491    0.0589614
         2120           10  1.47018e+10    0.0294328  0.000998118    0.0592659
         2125           10  1.46794e+10    0.0295911   0.00103497    0.0610365
         2130           10   1.4657e+10    0.0294996    0.0010165    0.0603167
         2135           10  1.46347e+10    0.0295307   0.00104348    0.0616403
         2140           10  1.46125e+10    0.0293692   0.00104675    0.0621919
         2145           10  1.45903e+10    0.0297594   0.00107591    0.0634626
         2150           10  1.45683e+10     0.029477   0.00106726    0.0633033
         2155           10  1.45463e+10    0.0302648   0.00110341    0.0650294
         2160           10  1.45245e+10    0.0303284   0.00111256    0.0654799
         2165           10  1.45027e+10    0.0305963   0.00114955    0.0674328
         2170           10   1.4481e+10     0.030462    0.0011354    0.0668244
         2175           10  1.44593e+10    0.0299511   0.00113699    0.0673431
         2180           10  1.44378e+10    0.0310879   0.00118823    0.0695984
         2185           10  1.44163e+10    0.0315854   0.00121848    0.0708512
         2190           10   1.4395e+10    0.0312059   0.00120742    0.0706093
         2195           10  1.43737e+10    0.0313987   0.00123625    0.0722174
         2200           10  1.43525e+10    0.0311887    0.0012199    0.0717919
         2205           10  1.43313e+10    0.0315439   0.00125592    0.0734238
         2210           10  1.43103e+10    0.0325524   0.00130654    0.0753973
         2215           10  1.42893e+10    0.0322601   0.00130042    0.0755435
         2220           10  1.42684e+10    0.0326949    0.0013263    0.0764817
         2225           10  1.42475e+10    0.0323808   0.00132402    0.0768961
         2230           10  1.42268e+10    0.0324987   0.00133643    0.0776712
         2235           10  1.42061e+10    0.0323491   0.00134769    0.0785944
         2240           10  1.41855e+10    0.0325989   0.00135704    0.0788398
         2245           10   1.4165e+10    0.0335294   0.00141766    0.0813256
         2250           10  1.41446e+10    0.0334344   0.00140343    0.0813904
         2255           10  1.41242e+10    0.0329735   0.00144114     0.082999
         2260           10  1.41039e+10    0.0334885   0.00142531       0.0828
         2265           10  1.40837e+10    0.0331559   0.00146162    0.0845816
         2270           10  1.40636e+10    0.0329981   0.00144512     0.083738
         2275           10  1.40435e+10    0.0343095   0.00153063    0.0874982
         2280           10  1.40235e+10    0.0331675   0.00146419    0.0848166
         2285           10  1.40036e+10    0.0342765   0.00157258    0.0889736
         2290           10  1.39837e+10    0.0342896    0.0015481    0.0895964
         2295           10  1.39639e+10     0.034349   0.00154638     0.088824
         2300           10  1.39442e+10    0.0342696   0.00158051    0.0907067
         2305           10  1.39246e+10    0.0345845   0.00158801    0.0912866
         2310           10   1.3905e+10    0.0337388   0.00157845    0.0910589
         2315           10  1.38855e+10    0.0351132   0.00162205    0.0926967
         2320           10  1.38661e+10    0.0356288   0.00167706     0.095028
         2325           10  1.38467e+10    0.0356829   0.00168991    0.0958164
         2330           10  1.38274e+10     0.035564   0.00167795    0.0953328
         2335           10  1.38082e+10    0.0359054   0.00172574    0.0975361
         2340           10   1.3789e+10    0.0362992   0.00172686    0.0977393
         2345           10  1.37699e+10    0.0354331   0.00172802    0.0982165
         2350           10  1.37509e+10    0.0355227   0.00174003    0.0989739
         2355           10   1.3732e+10    0.0357608   0.00177315     0.100615
         2360           10  1.37131e+10    0.0373436   0.00183768     0.102639
         2365           10  1.36943e+10    0.0371489   0.00182009     0.102719
         2370           10  1.36755e+10      0.03653   0.00184892     0.104478
         2375           10  1.36568e+10    0.0372592   0.00185107     0.103775
         2380           10  1.36382e+10    0.0366963   0.00188241     0.105911
         2385           10  1.36196e+10    0.0370071   0.00190485     0.107092
         2390           10  1.36011e+10    0.0368402   0.00188218     0.106123
         2395           10  1.35827e+10    0.0372671   0.00193361     0.108532
         2400           10  1.35643e+10    0.0370301   0.00191053     0.107821
         2405           10   1.3546e+10    0.0378355   0.00198304     0.110856
         2410           10  1.35278e+10    0.0374743    0.0019947     0.111302
         2415           10  1.35096e+10    0.0379315   0.00204387     0.113115
         2420           10  1.34915e+10    0.0376794   0.00202577     0.113105
         2425           10  1.34734e+10    0.0387293   0.00205686     0.114665
         2430           10  1.34554e+10    0.0391975   0.00210629     0.116307
         2435           10  1.34375e+10     0.038843   0.00209128     0.116225
         2440           10  1.34196e+10    0.0390573   0.00213225     0.117962
         2445           10  1.34018e+10    0.0386166   0.00211135     0.117673
         2450           10   1.3384e+10    0.0391318   0.00217138     0.119699
         2455           10  1.33663e+10    0.0386066   0.00215965     0.119954
         2460           10  1.33487e+10    0.0391077    0.0021997      0.12172
         2465           10  1.33311e+10    0.0409004   0.00228404     0.124396
