Pressure (atm),Temperature (K),B7_Energy_1_P3->P4,B7_Energy_1_P3->P5,B7_Energy_1_P3->W3,B7_Energy_1_P4->P5,B7_Energy_1_P1->P3,B7_Energy_1_W3->P5,B7_Energy_1_W3->P4,B7_Energy_1_W3->P1,B7_Energy_1_W3->P3,B7_Energy_1_P5->W3,B7_Energy_1_P1->W3,B7_Energy_1_P4->W3,B7_Energy_1_P1->P4,B7_Energy_1_P1->P5
0.1,340.0,-6.179310284870631e-05,-1.4205766948101273e-05,1.1367857904393835e-05,-4.845820854425986e-06,-7.644545453652985e-08,0.12198983554816946,2.0493701750957628e-05,4.446064410764084e-06,1.285395499296657e-05,0.12198411038018284,3.196886983540907e-06,2.2157022954807503e-05,-0.00035719530489024975,-5.8424167798604525e-08
0.1,350.0,0.0005728385118700463,-2.4863662441830413e-05,1.1731525436464613e-05,-1.9352628397243594e-05,3.3062764927033104e-06,0.21387178192550635,-1.9276940976369045e-05,-6.599815151864724e-07,1.1655502582019028e-05,0.2138666702607132,-2.9256103704494384e-06,-1.7782559628727785e-05,-0.00022880779478165356,-3.8500525213646195e-06
0.1,360.0,0.0010009170142918757,-3.353977827551349e-05,1.6687483991652072e-05,-3.3399799633502835e-05,5.578062312076796e-06,0.287545584668516,-5.074750413707268e-05,-4.8829791355739825e-06,1.4584074261217357e-05,0.2875430866632158,-7.6064711138184385e-06,-4.979194612259936e-05,-3.7826408457148225e-05,-7.92843894297409e-06
0.1,370.0,0.0011455472823519316,-3.964133718005661e-05,2.643197551047953e-05,-4.594774015841166e-05,6.300327437274782e-06,0.3342818819868141,-6.753994220827548e-05,-7.312948026374919e-06,2.210658754398387e-05,0.33428293968479844,-9.822599120827373e-06,-6.741460409605465e-05,0.00016141037332422346,-1.1662709020795188e-05
0.1,380.0,0.0010178279725291343,-4.376349553968739e-05,3.974406684594564e-05,-5.717103625351548e-05,5.495820903764328e-06,0.3514743225195202,-6.8302823697212e-05,-7.71009396750273e-06,3.32467050851374e-05,0.35147889879881006,-9.365590821088094e-06,-6.920262651158441e-05,0.0003233464818633668,-1.4730126776672517e-05
0.1,390.0,0.0006869764438787248,-4.7272500102898835e-05,5.462210039579041e-05,-6.809923882387437e-05,3.5040639324838575e-06,0.34124505307747083,-5.537604855897973e-05,-6.340285138419075e-06,4.6193453124101666e-05,0.34125239543699326,-6.6291396751238614e-06,-5.739922645819986e-05,0.00041874730966010184,-1.7120659661531917e-05
0.1,400.0,0.0002486718761259101,-5.1870725211823295e-05,6.888843231394866e-05,-8.021192873873744e-05,8.230094798390865e-07,0.30873197237775374,-3.3162840854242156e-05,-3.762550506764486e-06,5.8896759731841335e-05,0.30874092766306166,-2.3470807510717853e-06,-3.632136952212164e-05,0.00043628906594185617,-1.9079004998954824e-05
0.1,410.0,-0.00020056248254419608,-5.924765167115904e-05,8.06374573963556e-05,-9.509784591434859e-05,-2.0226078385131272e-06,0.26050846936069827,-6.695290665444462e-06,-6.365563245111123e-07,6.951853971534587e-05,0.2605177681421971,2.6393133961951888e-06,-1.0930531002900688e-05,0.00038021084354689707,-2.1020750071763284e-05
0.1,420.0,-0.0005801989547945256,-7.085200524664335e-05,8.849589221414378e-05,-0.00011421944275628058,-4.571045034683236e-06,0.20334758414240667,1.939993847118313e-05,2.419549326468979e-06,7.670274918772992e-05,0.2033560564017361,7.550752180273596e-06,1.4200049211729555e-05,0.0002659706727854619,-2.3447949020774808e-05
0.1,430.0,-0.0008341033670707595,-8.777896110422474e-05,9.171739069266116e-05,-0.00013878240610921267,-6.471846703136196e-06,0.14338349639680656,4.15086529223721e-05,4.915224527111684e-06,7.968239089335729e-05,0.14339020930383164,1.1770903220129646e-05,3.549309418813647e-05,0.00011539634301103206,-2.6878382316448904e-05
0.1,440.0,-0.0009322872858919447,-0.0001107470514839254,9.015565021635045e-05,-0.00016968948872412776,-7.500703417400988e-06,0.08563404670973603,5.7275271517453706e-05,6.525105198166185e-06,7.82649795680369e-05,0.08563837201520284,1.488898800633257e-05,5.0615309127178434e-05,-4.770883776054103e-05,-3.179430819792253e-05
0.1,450.0,-0.0008682075044016001,-0.00014013453548172123,8.416295228508226e-05,-0.0002075520453028489,-7.551247156049847e-06,0.033808793382282265,6.558841356030034e-05,7.0907902534923075e-06,7.274193120556244e-05,0.033810419565209596,1.6699773475977668e-05,5.846534986451904e-05,-0.0002010067492593196,-3.861098571626732e-05
0.1,460.0,-0.0006536166714881034,-0.00017604795330598933,7.445402882890179e-05,-0.0002527346014449852,-6.613507983182711e-06,-0.009681100976436461,6.640556823948254e-05,6.599925606414681e-06,6.376112133822431e-05,-0.00968219491281701,1.7176840968193716e-05,5.900095535289291e-05,-0.00032595270310208096,-4.7662195990664275e-05
0.1,470.0,-0.0003125284057424505,-0.0002184018290543421,6.19645631698727e-05,-0.0003054131228659807,-4.746771684424938e-06,-0.04358655231526155,6.049919761841962e-05,5.1536412226138015e-06,5.219181096753074e-05,-0.04359014601393638,1.643239534007933e-05,5.298736111162921e-05,-0.00040906943536371824,-5.919872163624766e-05
0.1,480.0,0.00012462944875854442,-0.00026699527036200575,4.772312655934669e-05,-0.0003656336998413081,-2.052273185069708e-06,-0.06761800576780216,4.9184211147606705e-05,2.9305450597426533e-06,3.900093606736961e-05,-0.06762369724257854,1.46733714196492e-05,4.172681731273345e-05,-0.00044234194258473624,-7.339561134801468e-05
0.1,490.0,0.0006260343127971634,-0.00032157715228002857,3.274661055315757e-05,-0.0004333637357323693,1.3509304694557551e-06,-0.08222043846017316,3.406545656206787e-05,1.5268541089606403e-07,2.5151160358845445e-05,-0.08222770528373749,1.2160217794957628e-05,2.6807815887284138e-05,-0.0004229531437230479,-9.036454624017049e-05
0.1,500.0,0.0011623604993149658,-0.0003818961424642963,1.796275996344377e-05,-0.0005085318913080047,5.345220629891511e-06,-0.08835498912663273,1.6826477857153594e-05,-2.9434344376748264e-06,1.152467695236822e-05,-0.08836324505088441,9.171950220418249e-06,9.89527889144213e-06,-0.0003525791435737022,-0.0001101683821351911
0.1,510.0,0.0017094801109340822,-0.0004477349890804668,4.159127808137503e-06,-0.0005910559292705206,9.828308278990207e-06,-0.08730445341138504,-9.319894537940056e-07,-6.1294462753721875e-06,-1.1275572503851782e-06,-0.0873130969122591,5.978997412517377e-06,-7.429798331824235e-06,-0.00023643594518754624,-0.0001328357462558676
0.1,520.0,0.002250060279934636,-0.0005189304493554573,-8.04472642964325e-06,-0.0006808593971754718,1.4722017321574253e-05,-0.08051109523150214,-1.7803838767435714e-05,-9.20115289292843e-06,-1.2214019037859541e-05,-0.08051954838744259,2.8239645685059067e-06,-2.3781269291101894e-05,-8.223122965524051e-05,-0.00015837429568957802
0.1,530.0,0.0027742252790741296,-0.0005953812627539887,-1.8206149522834223e-05,-0.000777879033343016,1.997665286473271e-05,-0.06944915873529386,-3.2644849935152147e-05,-1.1988574544260454e-05,-2.131234791519399e-05,-0.06945689619939248,-9.040646628986311e-08,-3.803440980971005e-05,0.0001008654288406645,-0.00018678184374894242
0.1,540.0,0.0032794845035005716,-0.0006770469422283571,-2.605404663802437e-05,-0.0008820651302735771,2.5571837762934305e-05,-0.055530604199599404,-4.460301295851182e-05,-1.4360947136552823e-05,-2.8165039649195564e-05,-0.05553717290068981,-2.607235391933811e-06,-4.935573764323629e-05,0.00030315747185440594,-0.00021805501569410429
0.1,550.0,0.003770127597965571,-0.0007639401024352251,-3.1473618262899666e-05,-0.000993377056771761,3.151472974388927e-05,-0.040040392485736,-5.3120301824034786e-05,-1.622774821028444e-05,-3.2665307246826925e-05,-0.040045423197979386,-4.616763515397998e-06,-5.720443101881519e-05,0.0005152159678378769,-0.00025219541706577957
0.1,560.0,0.0042562691986603,-0.0008561147448132226,-3.4484944032944336e-05,-0.0011117758876878444,3.7836462500509836e-05,-0.02409662283006694,-5.791393798162366e-05,-1.7536806726808324e-05,-3.483677336460566e-05,-0.02409983498286773,-6.054145966907113e-06,-6.1313358034402e-05,0.0007285128189717801,-0.00028921350679251027
0.1,570.0,0.0047526973947175435,-0.00095365250464146,-3.521847041267964e-05,-0.0012372157359279324,4.458753374523204e-05,-0.00863059415436234,-5.894422692098794e-05,-1.8270443500251287e-05,-3.480998822535479e-05,-0.008631795299399348,-6.894909608511138e-06,-6.165677653805555e-05,0.0009358893280570061,-0.00032913048723396516
0.1,580.0,0.00527764853793125,-0.0010566484204663378,-3.388974681977445e-05,-0.0013696350025335393,5.183272330073329e-05,0.005617889595520298,-5.637482428154225e-05,-1.844043742580859e-05,-3.2798081532233825e-05,0.005618808318410753,-7.149025024427255e-06,-5.8410540602471546e-05,0.0011318691254401886,-0.00037197857737373484
