 In this file all energies are in cm-1, temperatures  in K,
 lengths in Angstroms, and angles in degrees

 *** Intermediate TS results for: 
  effective state 1 in electronic state  1 of channel  1 ***

 Ndag for J =    2
     E     Ndag(E,J) IRdag   
  29900.0 0.1219E+07    1
  29950.0 0.1229E+07    1

 Ndag for J =    6
     E     Ndag(E,J) IRdag   
      0.0 0.7087E-01    1
     50.0 0.1013        1
    100.0 0.1413        1
    150.0 0.1926        1
    200.0 0.2588        1
    250.0 0.3430        1
    300.0 0.4503        1
    350.0 0.5841        1
    400.0 0.7507        1
    450.0 0.9569        1
    500.0  1.207        1
    550.0  1.511        1
    600.0  1.874        1
    650.0  2.304        1
    700.0  2.808        1
    750.0  3.394        1
    800.0  4.071        1
    850.0  4.845        1
    900.0  5.723        1
    950.0  6.713        1
   1000.0  7.821        1
   1050.0  9.056        1
   1100.0  10.42        1
   1150.0  11.93        1
   1200.0  13.59        1
   1250.0  15.41        1
   1300.0  17.39        1
   1350.0  19.55        1
   1400.0  21.90        1
   1450.0  24.45        1
   1500.0  27.19        1
   1550.0  30.16        1
   1600.0  33.34        1
   1650.0  36.76        1
   1700.0  40.42        1
   1750.0  44.33        1
   1800.0  48.49        1
   1850.0  52.93        1
   1900.0  57.65        1
   1950.0  62.66        1
   2000.0  67.98        1
   2050.0  73.62        1
   2100.0  79.58        1
   2150.0  85.90        1
   2200.0  92.58        1
   2250.0  99.63        1
   2300.0  107.1        1
   2350.0  114.9        1
   2400.0  123.2        1
   2450.0  132.0        1
   2500.0  141.1        1
   2550.0  150.8        1
   2600.0  161.0        1
   2650.0  171.6        1
   2700.0  182.8        1
   2750.0  194.5        1
   2800.0  206.7        1
   2850.0  219.6        1
   2900.0  233.0        1
   2950.0  247.0        1
   3000.0  261.6        1
   3050.0  276.9        1
   3100.0  292.8        1
   3150.0  309.4        1
   3200.0  326.7        1
   3250.0  344.7        1
   3300.0  363.4        1
   3350.0  382.9        1
   3400.0  403.1        1
   3450.0  424.1        1
   3500.0  445.9        1
   3550.0  468.5        1
   3600.0  492.0        1
   3650.0  516.3        1
   3700.0  541.5        1
   3750.0  567.6        1
   3800.0  594.6        1
   3850.0  622.5        1
   3900.0  651.5        1
   3950.0  681.4        1
   4000.0  712.4        1
   4050.0  744.4        1
   4100.0  777.5        1
   4150.0  811.8        1
   4200.0  847.2        1
   4250.0  883.8        1
   4300.0  921.5        1
   4350.0  960.6        1
   4400.0  1001.        1
   4450.0  1042.        1
   4500.0  1085.        1
   4550.0  1130.        1
   4600.0  1175.        1
   4650.0  1222.        1
   4700.0  1271.        1
   4750.0  1321.        1
   4800.0  1373.        1
   4850.0  1426.        1
   4900.0  1481.        1
   4950.0  1537.        1
   5000.0  1595.        1
   5050.0  1655.        1
   5100.0  1717.        1
   5150.0  1780.        1
   5200.0  1845.        1
   5250.0  1912.        1
   5300.0  1981.        1
   5350.0  2052.        1
   5400.0  2125.        1
   5450.0  2199.        1
   5500.0  2276.        1
   5550.0  2355.        1
   5600.0  2436.        1
   5650.0  2519.        1
   5700.0  2605.        1
   5750.0  2692.        1
   5800.0  2782.        1
   5850.0  2874.        1
   5900.0  2969.        1
   5950.0  3066.        1
   6000.0  3166.        1
   6050.0  3268.        1
   6100.0  3372.        1
   6150.0  3480.        1
   6200.0  3590.        1
   6250.0  3703.        1
   6300.0  3818.        1
   6350.0  3936.        1
   6400.0  4058.        1
   6450.0  4182.        1
   6500.0  4309.        1
   6550.0  4439.        1
   6600.0  4573.        1
   6650.0  4709.        1
   6700.0  4849.        1
   6750.0  4991.        1
   6800.0  5137.        1
   6850.0  5287.        1
   6900.0  5440.        1
   6950.0  5596.        1
   7000.0  5756.        1
   7050.0  5919.        1
   7100.0  6086.        1
   7150.0  6257.        1
   7200.0  6431.        1
   7250.0  6609.        1
   7300.0  6791.        1
   7350.0  6977.        1
   7400.0  7167.        1
   7450.0  7361.        1
   7500.0  7559.        1
   7550.0  7761.        1
   7600.0  7967.        1
   7650.0  8178.        1
   7700.0  8393.        1
   7750.0  8612.        1
   7800.0  8836.        1
   7850.0  9064.        1
   7900.0  9297.        1
   7950.0  9535.        1
   8000.0  9778.        1
   8050.0 0.1003E+05    1
   8100.0 0.1028E+05    1
   8150.0 0.1053E+05    1
   8200.0 0.1080E+05    1
   8250.0 0.1106E+05    1
   8300.0 0.1134E+05    1
   8350.0 0.1162E+05    1
   8400.0 0.1190E+05    1
   8450.0 0.1219E+05    1
   8500.0 0.1248E+05    1
   8550.0 0.1278E+05    1
   8600.0 0.1309E+05    1
