========================================
tripplet_W1b_Frequencies_1_0.1.out
0.1 atm
T,P1->P2
310.0,-8.62558e-14
320.0,-5.80153e-14
330.0,-6.13299e-14
340.0,-3.94635e-14
350.0,-1.81046e-14
360.0,-2.52865e-14
370.0,-6.45146e-15
380.0,1.09335e-15
390.0,4.24145e-15
400.0,1.97982e-14
410.0,2.3308e-14
420.0,3.46164e-14
430.0,5.1949e-14
440.0,4.95584e-14
450.0,5.99513e-14
460.0,6.27785e-14
470.0,7.23231e-14
480.0,7.96165e-14
490.0,8.49796e-14
500.0,1.00417e-13
510.0,9.93874e-14
520.0,1.09786e-13
530.0,1.14825e-13
540.0,1.19305e-13
550.0,1.27708e-13
560.0,1.33325e-13
570.0,1.42386e-13
580.0,1.46925e-13
590.0,1.58233e-13
600.0,1.60194e-13
610.0,1.6595e-13
620.0,1.7394e-13
630.0,1.84757e-13
640.0,1.87734e-13
650.0,1.94278e-13
660.0,2.01056e-13
670.0,2.11271e-13
680.0,2.15839e-13
690.0,2.24645e-13
700.0,2.29999e-13
800.0,3.05355e-13
900.0,3.69439e-13
1000.0,4.05184e-13
1100.0,3.79875e-13
1200.0,2.85562e-13
1300.0,1.50787e-13
1400.0,2.65092e-14
1500.0,-1.08385e-13
1600.0,-2.01811e-13
1700.0,-2.89667e-13
1800.0,-3.7639e-13
1900.0,-4.66934e-13
2000.0,-5.48702e-13
2100.0,-6.27182e-13
2200.0,-7.14337e-13
2300.0,-7.95856e-13
2400.0,-8.8441e-13
2500.0,-9.73791e-13
2600.0,-1.07332e-12
2700.0,-1.16417e-12
2800.0,-1.33622e-12
2900.0,-1.44745e-12
3000.0,-1.55804e-12
========================================
tripplet_B1_Frequencies_1_0.1.out
1.0 atm
T,P1->P2
200.0,5.74079e-13
210.0,2.6695e-13
220.0,9.58412e-14
230.0,-4.0404e-14
240.0,-8.37871e-14
250.0,-1.11682e-13
260.0,-1.51285e-13
270.0,-1.66009e-13
280.0,-1.4919e-13
290.0,-1.17318e-13
300.0,-1.05174e-13
310.0,-1.12343e-13
320.0,-8.41693e-14
330.0,-7.92521e-14
340.0,-5.65918e-14
350.0,-3.49958e-14
360.0,-3.49603e-14
370.0,-1.66653e-14
380.0,-6.27153e-15
390.0,1.80863e-16
400.0,1.54562e-14
410.0,2.14466e-14
420.0,3.28838e-14
430.0,4.84344e-14
440.0,4.96869e-14
450.0,5.97284e-14
460.0,6.46378e-14
470.0,7.39468e-14
480.0,8.15934e-14
490.0,8.77292e-14
500.0,1.01025e-13
510.0,1.02306e-13
520.0,1.12105e-13
530.0,1.17789e-13
540.0,1.23025e-13
550.0,1.30897e-13
560.0,1.37025e-13
570.0,1.45647e-13
580.0,1.50733e-13
590.0,1.6099e-13
600.0,1.64098e-13
610.0,1.69971e-13
620.0,1.77904e-13
630.0,1.87658e-13
640.0,1.91748e-13
650.0,1.98075e-13
660.0,2.04798e-13
670.0,2.14873e-13
680.0,2.19347e-13
690.0,2.28466e-13
