Pressure (atm),Temperature (K),P1_SymmetryFactor_1_P1->W1,W2_Energy_1_P1->W1,B4_Energy_1_P1->W1,W1_Frequencies_1_P1->W1,P2_SymmetryFactor_1_P1->W1,B5_ImaginaryFrequency_1_P1->W1,W1_Energy_1_P1->W1,B4_ImaginaryFrequency_1_P1->W1,B5_Frequencies_1_P1->W1,P2_Energy_1_P1->W1,B4_Frequencies_1_P1->W1,P2_Frequencies_1_P1->W1,B4_SymmetryFactor_1_P1->W1,P1_Frequencies_1_P1->W1,W1_SymmetryFactor_1_P1->W1,B5_SymmetryFactor_1_P1->W1,B5_Energy_1_P1->W1,W2_Frequencies_1_P1->W1,W2_SymmetryFactor_1_P1->W1,P1_Energy_1_P1->W1
10.0,1235.0,1.0000008016064754,0.0,-0.40724703885576635,0.0,0.0,0.00012404748992791436,0.0,0.21822136914727294,-0.042596942889520845,0.0,-3.2151222879667953,0.0,-0.9897225496333323,1.9418887862392515,0.0,-0.009781572245844125,-0.0002184538154942684,0.0,0.0,0.4074666257705133
10.0,1240.0,1.000000775716902,0.0,-0.40559893808490294,0.0,0.0,0.00013553082364988243,0.0,0.2163735412202325,-0.04258407847156133,0.0,-3.220176200956549,0.0,-0.9897264229968212,1.9472022374670395,0.0,-0.009779067384094087,-0.00022316494251188303,0.0,0.0,0.4058236071892098
10.0,1245.0,1.000000750560137,0.0,-0.40396347913684105,0.0,0.0,0.00014776713758874287,0.0,0.21454862703090471,-0.04252285790392451,0.0,-3.2252632683893103,0.0,-0.9897412545152331,1.9524914470697972,0.0,-0.009766031581458152,-0.0002284011616399802,0.0,0.0,0.4041937856045847
10.0,1250.0,1.0000007261157904,0.0,-0.4023405070543054,0.0,0.0,0.00016072778710552523,0.0,0.21274624989534593,-0.042415901633748775,0.0,-3.2303802913511235,0.0,-0.9897664163728757,1.9577565522834801,0.0,-0.009743060786519148,-0.00023416023652497842,0.0,0.0,0.40257700265205765
10.0,1255.0,1.0000007023640647,0.0,-0.40072986956520396,0.0,0.0,0.0001743850455939231,0.0,0.21096604083004036,-0.04226573286738847,0.0,-3.2355241967156556,0.0,-0.9898013044070616,1.9629976895417183,0.0,-0.009710728567115428,-0.0002404397313015733,0.0,0.0,0.40097310249079476
10.0,1260.0,1.0000006792857374,0.0,-0.399131417021857,0.0,0.0,0.0001887120741881785,0.0,0.20920763836392767,-0.042074781050825044,0.0,-3.2406920325725164,0.0,-0.9898453372555368,1.968214994485119,0.0,-0.009669586915801928,-0.0002472370225599132,0.0,0.0,0.39938193175363473
10.0,1265.0,1.0000006568621425,0.0,-0.39754500234191753,0.0,0.0,0.00020368289254081207,0.0,0.20747068835576993,-0.041845385220467525,0.0,-3.2458809638274326,0.0,-0.9898979555358279,1.9734086019700257,0.0,-0.009620167025338156,-0.0002545493107546517,0.0,0.0,0.39780333949820035
10.0,1270.0,1.000000635075152,0.0,-0.39597048095093873,0.0,0.0,0.00021927235063210992,0.0,0.2057548438166674,-0.04157979722866159,0.0,-3.2510882679665536,0.0,-0.9899586210552428,1.9785786460767547,0.0,-0.009562980035111112,-0.000262373631093247,0.0,0.0,0.3962371771591689
10.0,1275.0,1.0000006139071609,0.0,-0.39440771072651565,0.0,0.0,0.00023545610157557688,0.0,0.20405976473756526,-0.04128018485025526,0.0,-3.2563113309793295,0.0,-0.99002681605036,1.9837252601173583,0.0,-0.009498517749752959,-0.0002707068639164327,0.0,0.0,0.3946832985016607
10.0,1280.0,1.00000059334107,0.0,-0.3928565519439676,0.0,0.0,0.00025221057537538704,0.0,0.20238511792159009,-0.04094863477342791,0.0,-3.2615476434330173,0.0,-0.9901020424547263,1.9888485766429413,0.0,-0.009427253331155941,-0.00027954574459844987,0.0,0.0,0.3931415595757241
