    E, kcal/mol    D, mol/kcal       W1a->W1b       W1a->W2a       W1a->W2b        W1a->P1
        14.6501    5.19979e+14    4.19085e+11       0.999985       0.999985    2.50274e+12
        14.7931    5.50599e+14    4.20282e+11       0.999986       0.999986    2.49408e+12
         14.936    5.82838e+14    4.21468e+11       0.999989       0.999989    2.48543e+12
         15.079    6.16772e+14    4.22641e+11       0.999988       0.999988    2.47692e+12
         15.222     6.5248e+14    4.23804e+11       0.999986       0.999986    2.46858e+12
        15.3649    6.90045e+14    4.24955e+11       0.999985       0.999985    2.46036e+12
        15.5079    7.29553e+14    4.26095e+11       0.999989       0.999989    2.45215e+12
        15.6508    7.71094e+14    4.27225e+11       0.999986       0.999986    2.44395e+12
        15.7938    8.14761e+14    4.28343e+11       0.999985       0.999985    2.43589e+12
        15.9367    8.60651e+14    4.29452e+11       0.999987       0.999987    2.42798e+12
        16.0797    9.08865e+14    4.30549e+11       0.999989       0.999989    2.42016e+12
        16.2226    9.59508e+14    4.31637e+11       0.999986       0.999986    2.41233e+12
        16.3656    1.01269e+15    4.32715e+11       0.999983       0.999983    2.40436e+12
        16.5086    1.06852e+15    4.33782e+11       0.999986       0.999986    2.39634e+12
        16.6515    1.12712e+15     4.3484e+11       0.999987       0.999987     2.3884e+12
        16.7945    1.18862e+15    4.35889e+11       0.999987       0.999987    2.38047e+12
        16.9374    1.25313e+15    4.36928e+11       0.999987       0.999987    2.37249e+12
        17.0804     1.3208e+15    4.37958e+11       0.999987       0.999987    2.36437e+12
        17.2233    1.39176e+15    4.38978e+11       0.999987       0.999987    2.35603e+12
        17.3663    1.46615e+15     4.3999e+11       0.999987       0.999987    2.34765e+12
        17.5092    1.54412e+15    4.40992e+11       0.999987       0.999987    2.33929e+12
        17.6522    1.62583e+15    4.41986e+11       0.999987       0.999987    2.33095e+12
        17.7952    1.71143e+15    4.42971e+11       0.999987       0.999987    2.32264e+12
        17.9381     1.8011e+15    4.43948e+11       0.999988       0.999988    2.31427e+12
        18.0811    1.89499e+15    4.44916e+11       0.999987       0.999987     2.3058e+12
         18.224     1.9933e+15    4.45876e+11       0.999987       0.999987    2.29738e+12
         18.367    2.09621e+15    4.46828e+11       0.999988       0.999988    2.28904e+12
        18.5099    2.20391e+15    4.47772e+11       0.999987       0.999987    2.28079e+12
        18.6529     2.3166e+15    4.48708e+11       0.999986       0.999986    2.27263e+12
        18.7958    2.43449e+15    4.49636e+11       0.999987       0.999987    2.26446e+12
        18.9388    2.55779e+15    4.50556e+11       0.999986       0.999986    2.25627e+12
        19.0818    2.68672e+15    4.51469e+11       0.999986       0.999986    2.24815e+12
        19.2247    2.82152e+15    4.52374e+11       0.999988       0.999988    2.24011e+12
        19.3677    2.96242e+15    4.53272e+11       0.999986       0.999986    2.23211e+12
        19.5106    3.10967e+15    4.54162e+11       0.999987       0.999987    2.22414e+12
