    E, kcal/mol    D, mol/kcal         W1->P1         W1->P2
           15.2        52841.6    5.58943e+15              0
           15.3        58712.9    5.10719e+15              0
           15.4        58712.9    5.18477e+15              0
           15.5        58712.9    5.26322e+15              0
           15.6        62906.6    4.98636e+15              0
           15.7        62906.6    5.06116e+15              0
           15.8        62906.6    5.13673e+15              0
           15.9        65422.9    5.01256e+15              0
             16        65422.9    5.08669e+15              0
           16.1        65422.9    5.16153e+15              0
           16.2        67100.4    5.10616e+15              0
           16.3        67100.4    5.18051e+15              0
           16.4        68358.5    5.15882e+15              0
           16.5        69197.3    5.16969e+15              0
           16.6        69197.3    5.24375e+15              0
           16.7        72552.3     5.0725e+15              0
           16.8        72552.3    5.14435e+15              0
           16.9        72552.3    5.21681e+15              0
             17        79262.4    4.84204e+15              0
           17.1        79262.4    4.90945e+15              0
           17.2        79262.4     4.9774e+15              0
           17.3        84294.9    4.74464e+15              0
           17.4        84294.9    4.80954e+15              0
           17.5        84294.9    4.87494e+15              0
           17.6        87649.9    4.75171e+15              0
           17.7        87649.9    4.81555e+15              0
           17.8        87649.9    4.87986e+15              0
           17.9        89746.8    4.82911e+15              0
             18        89746.8    4.89284e+15              0
           18.1        91426.9    4.86592e+15              0
           18.2        92682.4    4.86258e+15              0
           18.3        92682.4    4.92559e+15              0
           18.4        97123.5     4.7609e+15              0
           18.5        97295.6    4.81332e+15              0
           18.6        97295.6    4.87456e+15              0
           18.7         104844    4.58081e+15              0
           18.8         104844     4.6384e+15              0
           18.9         104844    4.69635e+15              0
             19         110716    4.50254e+15              0
           19.1         110716    4.55813e+15              0
           19.2         110716    4.61405e+15              0
           19.3         114909    4.49989e+15              0
           19.4         114909    4.55444e+15              0
           19.5         115329    4.59256e+15              0
           19.6         117845    4.54835e+15              0
           19.7         117845    4.60251e+15              0
           19.8         119965     4.5747e+15              0
           19.9         121619    4.56557e+15              0
             20         121619    4.61897e+15              0
