*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
         1920           10  1.56795e+10    0.0231531  0.000497129    0.0300504
         1925           10  1.56531e+10    0.0236521  0.000511681    0.0308533
         1930           10  1.56267e+10    0.0232724  0.000509587    0.0308963
         1935           10  1.56004e+10    0.0229026   0.00050609    0.0308161
         1940           10  1.55743e+10    0.0232225  0.000523528    0.0317692
         1945           10  1.55482e+10    0.0230309  0.000516233    0.0315909
         1950           10  1.55223e+10    0.0238952   0.00054583    0.0331104
         1955           10  1.54965e+10    0.0243388  0.000558566    0.0336444
         1960           10  1.54708e+10    0.0239219  0.000555563    0.0337425
         1965           10  1.54452e+10    0.0252487  0.000585518    0.0352486
         1970           10  1.54197e+10     0.024648   0.00058586    0.0354522
         1975           10  1.53943e+10    0.0253678  0.000595208    0.0359349
         1980           10   1.5369e+10    0.0257212  0.000635067    0.0380246
         1985           10  1.53439e+10    0.0255991   0.00062628    0.0375077
         1990           10  1.53188e+10    0.0258641  0.000648114    0.0387719
         1995           10  1.52938e+10    0.0257327  0.000637029    0.0381854
         2000           10   1.5269e+10    0.0257944  0.000669202    0.0401881
         2005           10  1.52442e+10    0.0257841  0.000651492    0.0395507
         2010           10  1.52196e+10    0.0256801  0.000673235    0.0404421
         2015           10   1.5195e+10     0.025776  0.000671627    0.0404881
         2020           10  1.51706e+10    0.0257561  0.000688058    0.0415093
         2025           10  1.51462e+10    0.0253943   0.00068075    0.0412415
         2030           10   1.5122e+10    0.0258306  0.000705639    0.0425276
         2035           10  1.50978e+10    0.0255596  0.000695831    0.0423162
         2040           10  1.50738e+10    0.0261135  0.000733318    0.0441973
         2045           10  1.50498e+10    0.0258637  0.000726319    0.0439132
         2050           10   1.5026e+10     0.026221  0.000748879    0.0451427
         2055           10  1.50022e+10    0.0259887   0.00074043    0.0448911
         2060           10  1.49786e+10    0.0270847  0.000787551    0.0469138
         2065           10   1.4955e+10     0.026706  0.000786167    0.0472355
         2070           10  1.49315e+10    0.0271272   0.00080542    0.0480274
         2075           10  1.49081e+10    0.0268375  0.000799611    0.0481796
         2080           10  1.48849e+10    0.0277381  0.000824977    0.0494614
         2085           10  1.48617e+10       0.0277  0.000846453    0.0505315
         2090           10  1.48386e+10    0.0282405  0.000855825    0.0510203
         2095           10  1.48155e+10     0.027773  0.000863812      0.05155
         2100           10  1.47926e+10    0.0283172  0.000885807     0.052615
         2105           10  1.47698e+10     0.028428  0.000890676    0.0530136
         2110           10  1.47471e+10    0.0284632  0.000904496    0.0537629
         2115           10  1.47244e+10    0.0285567  0.000906357      0.05403
         2120           10  1.47018e+10     0.028404  0.000905805    0.0543304
         2125           10  1.46794e+10    0.0285675  0.000939569    0.0559603
         2130           10   1.4657e+10    0.0284819   0.00092306    0.0553269
         2135           10  1.46347e+10    0.0285138  0.000947026    0.0565413
         2140           10  1.46125e+10    0.0283656  0.000951169    0.0571166
         2145           10  1.45903e+10    0.0287472  0.000977245     0.058257
         2150           10  1.45683e+10    0.0284668  0.000969655    0.0581068
         2155           10  1.45463e+10    0.0292038   0.00100301    0.0597511
         2160           10  1.45245e+10    0.0292866   0.00101174     0.060256
         2165           10  1.45027e+10    0.0295343   0.00104488    0.0619783
         2170           10   1.4481e+10    0.0294063    0.0010324    0.0614407
         2175           10  1.44593e+10    0.0289338   0.00103525    0.0620071
         2180           10  1.44378e+10    0.0299948   0.00108249    0.0641426
         2185           10  1.44163e+10    0.0304522   0.00110816    0.0651861
         2190           10   1.4395e+10    0.0301085   0.00110011    0.0650552
         2195           10  1.43737e+10    0.0302984   0.00112504    0.0666078
         2200           10  1.43525e+10    0.0301129   0.00111247    0.0662994
         2205           10  1.43313e+10    0.0304323    0.0011432     0.067699
         2210           10  1.43103e+10    0.0313863   0.00118995    0.0695902
         2215           10  1.42893e+10    0.0311255   0.00118632    0.0698213
         2220           10  1.42684e+10      0.03152   0.00120772    0.0705694
