========================================
ch3oh_B1_Energy_1_34.9759.out
0.1 atm
T,R->W1
340.0,7.39038e-11
350.0,7.21285e-11
360.0,7.03222e-11
370.0,6.85396e-11
380.0,6.67164e-11
390.0,6.49101e-11
400.0,6.31345e-11
410.0,6.13564e-11
420.0,5.9592e-11
430.0,5.78212e-11
440.0,5.61053e-11
450.0,5.43936e-11
460.0,5.27148e-11
470.0,5.10688e-11
480.0,4.94316e-11
490.0,4.78481e-11
500.0,4.62936e-11
510.0,4.47687e-11
520.0,4.32738e-11
530.0,4.18279e-11
540.0,4.0418e-11
550.0,3.90411e-11
560.0,3.77025e-11
570.0,3.64e-11
580.0,3.51295e-11
590.0,3.38963e-11
600.0,3.27037e-11
610.0,3.15475e-11
620.0,3.04261e-11
630.0,2.93405e-11
640.0,2.8291e-11
650.0,2.72753e-11
660.0,2.62906e-11
670.0,2.53362e-11
680.0,2.4419e-11
690.0,2.3533e-11
700.0,2.2677e-11
800.0,1.56007e-11
900.0,1.07143e-11
1000.0,7.37295e-12
1100.0,5.09376e-12
1200.0,3.53638e-12
1300.0,2.46852e-12
1400.0,1.73358e-12
1500.0,1.22514e-12
1600.0,8.7144e-13
1700.0,6.22314e-13
1800.0,4.47602e-13
1900.0,3.23519e-13
2000.0,2.352e-13
2100.0,1.71726e-13
2200.0,1.26506e-13
2300.0,9.32599e-14
2400.0,6.94287e-14
========================================
ch3oh_W1_Energy_1_34.9759.out
1.0 atm
T,R->W1
200.0,9.87377e-11
210.0,9.79746e-11
220.0,9.72261e-11
230.0,9.64926e-11
240.0,9.57903e-11
250.0,9.5076e-11
260.0,9.44074e-11
270.0,9.37242e-11
280.0,9.30576e-11
290.0,9.23817e-11
300.0,9.16756e-11
310.0,9.09874e-11
320.0,9.03093e-11
330.0,8.96203e-11
340.0,8.88754e-11
350.0,8.81505e-11
360.0,8.73917e-11
370.0,8.66391e-11
380.0,8.58319e-11
390.0,8.50174e-11
400.0,8.4204e-11
410.0,8.33534e-11
420.0,8.24854e-11
430.0,8.15676e-11
