    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1         W1->P2
             66     2.3938e+14              0    1.33777e+18    4.13034e+09
             67    2.61299e+14              0    1.27665e+18    4.41045e+09
             68     2.8489e+14              0    1.32069e+18    4.69833e+09
             69    3.10258e+14              0    1.37306e+18    4.99373e+09
             70     3.3751e+14              0     1.3703e+18     5.2964e+09
             71    3.66758e+14              0    1.43228e+18    5.60608e+09
             72    3.98122e+14              0    1.42333e+18    5.92251e+09
             73    4.31723e+14              0     1.4752e+18    6.24545e+09
             74    4.67692e+14              0    1.49322e+18    6.57463e+09
             75    5.06162e+14              0     1.4744e+18    6.90981e+09
             76    5.47275e+14              0    1.58962e+18    7.25074e+09
             77    5.91177e+14              0    1.51174e+18    7.59719e+09
             78     6.3802e+14              0    1.53157e+18     7.9489e+09
             79    6.87964e+14              0     1.5921e+18    8.30564e+09
             80    7.41174e+14              0    1.55334e+18    8.66719e+09
             81    7.97824e+14              0    1.58947e+18    9.03331e+09
             82    8.58093e+14              0    1.58851e+18    9.40378e+09
             83    9.22168e+14              0    1.60777e+18    9.77838e+09
             84    9.90243e+14              0    1.58291e+18    1.01569e+10
             85    1.06252e+15              0    1.58726e+18    1.05391e+10
             86    1.13921e+15              0    1.61967e+18    1.09249e+10
             87    1.22053e+15              0    1.55972e+18     1.1314e+10
             88     1.3067e+15              0    1.59157e+18    1.17062e+10
             89    1.39796e+15              0    1.58702e+18    1.21013e+10
             90    1.49456e+15              0    1.55827e+18    1.24992e+10
             91    1.59674e+15              0    1.56612e+18    1.28997e+10
             92    1.70477e+15              0     1.5592e+18    1.33026e+10
             93    1.81892e+15              0    1.57346e+18    1.37078e+10
             94    1.93947e+15              0    1.53197e+18     1.4115e+10
             95     2.0667e+15              0     1.5373e+18    1.45242e+10
             96    2.20093e+15              0    1.54971e+18    1.49351e+10
             97    2.34245e+15              0    1.49476e+18    1.53478e+10
             98     2.4916e+15              0    1.52388e+18    1.57619e+10
             99     2.6487e+15              0    1.51185e+18    1.61774e+10
            100    2.81409e+15              0     1.4784e+18    1.65941e+10
