========================================
singlet_B4_Energy_1_34.9759.out
0.1 atm
T,P1->W3
550.0,9.39455e-15
560.0,8.60357e-15
570.0,7.82824e-15
580.0,7.1355e-15
590.0,6.55332e-15
600.0,5.98742e-15
610.0,5.46113e-15
620.0,5.00534e-15
630.0,4.58393e-15
640.0,4.21821e-15
650.0,3.90181e-15
660.0,3.59809e-15
670.0,3.33302e-15
680.0,3.09278e-15
690.0,2.84145e-15
700.0,2.65198e-15
800.0,1.42174e-15
900.0,9.34582e-16
1000.0,7.92152e-16
1100.0,9.16639e-16
1200.0,1.13009e-15
1300.0,1.17598e-15
1400.0,1.52059e-15
1500.0,1.58615e-15
1600.0,1.89469e-15
1700.0,2.14602e-15
1800.0,2.19134e-15
1900.0,2.61772e-15
2000.0,2.79176e-15
2100.0,3.02509e-15
2200.0,2.87599e-15
2300.0,3.12933e-15
2400.0,3.01131e-15
2500.0,3.26754e-15
2600.0,3.28129e-15
2700.0,3.16082e-15
2800.0,3.05318e-15
2900.0,2.96162e-15
3000.0,2.88746e-15
========================================
singlet_B6_Energy_1_34.9759.out
1.0 atm
T,P1->W3
200.0,9.2835e-13
210.0,7.84886e-13
220.0,6.66949e-13
230.0,5.69775e-13
240.0,4.8909e-13
250.0,4.2164e-13
260.0,3.6506e-13
270.0,3.17341e-13
280.0,2.76895e-13
290.0,2.42459e-13
300.0,2.13051e-13
310.0,1.87735e-13
320.0,1.65904e-13
330.0,1.47047e-13
340.0,1.30874e-13
350.0,1.16585e-13
360.0,1.04263e-13
370.0,9.362e-14
380.0,8.3888e-14
390.0,7.58703e-14
400.0,6.85444e-14
410.0,6.24091e-14
420.0,5.699e-14
430.0,5.20105e-14
440.0,4.7029e-14
450.0,4.3149e-14
460.0,3.90883e-14
470.0,3.58849e-14
480.0,3.265e-14
490.0,2.96148e-14
500.0,2.70274e-14
510.0,2.45461e-14
520.0,2.25571e-14
530.0,2.06099e-14
540.0,1.87467e-14
550.0,1.70635e-14
560.0,1.56309e-14
570.0,1.42514e-14
580.0,1.30162e-14
590.0,1.1957e-14
600.0,1.09452e-14
610.0,1.00039e-14
620.0,9.18492e-15
630.0,8.42623e-15
640.0,7.76587e-15
650.0,7.18817e-15
660.0,6.63788e-15
670.0,6.15658e-15
680.0,5.71899e-15
690.0,5.26457e-15
700.0,4.9178e-15
800.0,2.65361e-15
900.0,1.73794e-15
1000.0,1.4305e-15
1100.0,1.58647e-15
1200.0,1.91582e-15
1300.0,1.98013e-15
1400.0,2.53118e-15
1500.0,2.63214e-15
1600.0,3.12077e-15
1700.0,3.50871e-15
1800.0,3.56301e-15
1900.0,4.19035e-15
2000.0,4.40845e-15
2100.0,4.6891e-15
2200.0,4.40053e-15
2300.0,4.67679e-15
2400.0,4.43546e-15
2500.0,4.71054e-15
2600.0,4.68348e-15
2700.0,4.48016e-15
2800.0,4.31148e-15
2900.0,4.18095e-15
3000.0,4.08918e-15
========================================
singlet_B6_Energy_1_34.9759.out
2.0 atm
T,P1->W3
200.0,1.38224e-12
210.0,1.18073e-12
220.0,1.01322e-12
230.0,8.73682e-13
240.0,7.56636e-13
250.0,6.57814e-13
260.0,5.74148e-13
270.0,5.02911e-13
280.0,4.42046e-13
290.0,3.89806e-13
300.0,3.44787e-13
310.0,3.05775e-13
320.0,2.71891e-13
330.0,2.42422e-13
340.0,2.16968e-13
350.0,1.94323e-13
360.0,1.7465e-13
370.0,1.57529e-13
380.0,1.41845e-13
390.0,1.2879e-13
400.0,1.16812e-13
410.0,1.067e-13
420.0,9.76951e-14
430.0,8.93719e-14
440.0,8.11046e-14
450.0,7.45011e-14
460.0,6.77077e-14
470.0,6.22025e-14
480.0,5.67277e-14
490.0,5.16117e-14
500.0,4.71864e-14
510.0,4.29803e-14
520.0,3.95076e-14
530.0,3.61516e-14
540.0,3.29808e-14
550.0,3.01081e-14
560.0,2.76175e-14
570.0,2.52531e-14
580.0,2.31295e-14
590.0,2.12746e-14
600.0,1.95268e-14
610.0,1.78984e-14
620.0,1.64734e-14
630.0,1.51504e-14
640.0,1.39934e-14
650.0,1.29699e-14
660.0,1.2001e-14
670.0,1.11505e-14
680.0,1.03743e-14
690.0,9.57424e-15
700.0,8.9549e-15
800.0,4.87831e-15
900.0,3.18742e-15
1000.0,2.55517e-15
1100.0,2.70386e-15
1200.0,3.19122e-15
1300.0,3.27727e-15
1400.0,4.14293e-15
1500.0,4.29452e-15
1600.0,5.04687e-15
1700.0,5.61872e-15
1800.0,5.65883e-15
1900.0,6.52018e-15
2000.0,6.74004e-15
2100.0,7.01571e-15
2200.0,6.49138e-15
2300.0,6.74697e-15
2400.0,6.32372e-15
2500.0,6.62028e-15
2600.0,6.56588e-15
2700.0,6.27863e-15
2800.0,6.06127e-15
2900.0,5.91697e-15
3000.0,5.84617e-15
========================================
singlet_B6_Energy_1_34.9759.out
4.0 atm
T,P1->W3
200.0,1.95105e-12
210.0,1.68212e-12
220.0,1.4566e-12
230.0,1.26704e-12
240.0,1.10667e-12
250.0,9.70128e-13
260.0,8.53567e-13
270.0,7.5349e-13
280.0,6.67335e-13
290.0,5.92814e-13
300.0,5.2806e-13
310.0,4.71562e-13
320.0,4.22138e-13
330.0,3.78844e-13
340.0,3.41173e-13
350.0,3.07433e-13
360.0,2.77878e-13
370.0,2.51912e-13
380.0,2.28099e-13
390.0,2.07984e-13
400.0,1.89494e-13
410.0,1.73683e-13
420.0,1.59484e-13
430.0,1.46317e-13
440.0,1.33382e-13
450.0,1.22744e-13
460.0,1.12035e-13
470.0,1.03097e-13
480.0,9.43485e-14
490.0,8.62074e-14
500.0,7.90547e-14
510.0,7.23078e-14
520.0,6.65828e-14
530.0,6.11064e-14
540.0,5.59806e-14
550.0,5.13157e-14
560.0,4.72014e-14
570.0,4.33336e-14
580.0,3.98432e-14
590.0,3.67433e-14
600.0,3.38485e-14
610.0,3.11447e-14
620.0,2.87609e-14
630.0,2.65411e-14
640.0,2.45871e-14
650.0,2.28398e-14
660.0,2.11922e-14
670.0,1.97379e-14
680.0,1.84046e-14
690.0,1.70403e-14
700.0,1.59665e-14
800.0,8.81759e-15
900.0,5.76044e-15
1000.0,4.51659e-15
1100.0,4.55084e-15
1200.0,5.22744e-15
1300.0,5.33134e-15
1400.0,6.65997e-15
1500.0,6.87545e-15
1600.0,7.98817e-15
1700.0,8.77476e-15
1800.0,8.73397e-15
1900.0,9.80871e-15
2000.0,9.93595e-15
2100.0,1.01196e-14
2200.0,9.24456e-15
2300.0,9.44807e-15
2400.0,8.79584e-15
2500.0,9.16441e-15
2600.0,9.14549e-15
2700.0,8.80365e-15
2800.0,8.58678e-15
2900.0,8.5011e-15
3000.0,8.55278e-15
========================================
singlet_W3_Energy_1_34.9759.out
0.1 atm
T,P1->W3
200.0,1.66901e-13
210.0,1.37187e-13
220.0,1.13506e-13
230.0,9.45862e-14
240.0,7.92968e-14
250.0,6.69029e-14
260.0,5.67078e-14
270.0,4.83931e-14
280.0,4.14678e-14
290.0,3.56641e-14
300.0,3.08645e-14
310.0,2.67906e-14
320.0,2.33401e-14
330.0,2.03902e-14
340.0,1.79285e-14
350.0,1.57963e-14
360.0,1.39762e-14
370.0,1.24289e-14
380.0,1.10174e-14
390.0,9.89439e-15
400.0,8.85345e-15
410.0,8.00434e-15
420.0,7.28011e-15
430.0,6.6046e-15
440.0,5.93981e-15
450.0,5.44442e-15
460.0,4.89065e-15
470.0,4.48469e-15
480.0,4.07555e-15
490.0,3.67843e-15
500.0,3.34644e-15
510.0,3.02974e-15
520.0,2.784e-15
530.0,2.54497e-15
540.0,2.30653e-15
550.0,2.088e-15
560.0,1.91431e-15
570.0,1.73891e-15
580.0,1.57351e-15
590.0,1.44615e-15
600.0,1.31637e-15
610.0,1.20536e-15
620.0,1.10353e-15
630.0,1.00902e-15
640.0,9.26855e-16
650.0,8.48265e-16
660.0,7.80908e-16
670.0,7.2195e-16
680.0,6.68959e-16
690.0,6.2251e-16
700.0,5.71136e-16
800.0,3.03987e-16
900.0,2.02284e-16
1000.0,1.84397e-16
1100.0,2.31313e-16
1200.0,2.99581e-16
1300.0,3.70245e-16
1400.0,4.26094e-16
1500.0,4.4959e-16
1600.0,5.47494e-16
1700.0,6.29573e-16
1800.0,6.48265e-16
1900.0,7.94325e-16
2000.0,8.6452e-16
2100.0,9.6508e-16
2200.0,9.36224e-16
2300.0,1.06475e-15
2400.0,1.21776e-15
2500.0,1.21303e-15
2600.0,1.26491e-15
2700.0,1.26031e-15
2800.0,1.25505e-15
2900.0,1.2486e-15
3000.0,1.2402e-15
========================================
singlet_W3_Energy_1_34.9759.out
0.5 atm
T,P1->W3
200.0,5.75393e-13
210.0,4.81329e-13
220.0,4.0491e-13
230.0,3.42671e-13
240.0,2.91536e-13
250.0,2.49236e-13
260.0,2.14077e-13
270.0,1.84726e-13
280.0,1.6004e-13
290.0,1.39186e-13
300.0,1.21549e-13
310.0,1.06459e-13
320.0,9.35356e-14
330.0,8.24461e-14
340.0,7.30077e-14
350.0,6.47212e-14
360.0,5.76257e-14
370.0,5.15355e-14
380.0,4.5967e-14
390.0,4.14296e-14
400.0,3.73e-14
410.0,3.38574e-14
420.0,3.08405e-14
430.0,2.80795e-14
440.0,2.53077e-14
450.0,2.32017e-14
460.0,2.09534e-14
470.0,1.92227e-14
480.0,1.74531e-14
490.0,1.58039e-14
500.0,1.44019e-14
510.0,1.30514e-14
520.0,1.19813e-14
530.0,1.09344e-14
540.0,9.94483e-15
550.0,9.03162e-15
560.0,8.27136e-15
570.0,7.52647e-15
580.0,6.8322e-15
590.0,6.27175e-15
600.0,5.7283e-15
610.0,5.25625e-15
620.0,4.8202e-15
630.0,4.41669e-15
640.0,4.06728e-15
650.0,3.72788e-15
660.0,3.43734e-15
670.0,3.18389e-15
680.0,2.95433e-15
690.0,2.75217e-15
700.0,2.5328e-15
800.0,1.35908e-15
900.0,8.95457e-16
1000.0,7.62346e-16
1100.0,8.86985e-16
1200.0,1.09781e-15
1300.0,1.31559e-15
1400.0,1.48466e-15
1500.0,1.55102e-15
1600.0,1.85632e-15
1700.0,2.10588e-15
1800.0,2.15268e-15
1900.0,2.57593e-15
2000.0,2.75073e-15
2100.0,2.98482e-15
2200.0,2.83992e-15
2300.0,3.09462e-15
2400.0,3.36393e-15
2500.0,3.23867e-15
2600.0,3.25549e-15
2700.0,3.13803e-15
2800.0,3.03289e-15
2900.0,2.9434e-15
3000.0,2.8709e-15
========================================
singlet_W3_Energy_1_34.9759.out
1.0 atm
T,P1->W3
200.0,9.0809e-13
210.0,7.67111e-13
220.0,6.51316e-13
230.0,5.55988e-13
240.0,4.76898e-13
250.0,4.10835e-13
260.0,3.5546e-13
270.0,3.08792e-13
280.0,2.69265e-13
290.0,2.35635e-13
300.0,2.06934e-13
310.0,1.82242e-13
320.0,1.60962e-13
330.0,1.42592e-13
340.0,1.2685e-13
350.0,1.12945e-13
360.0,1.00965e-13
370.0,9.06249e-14
380.0,8.11657e-14
390.0,7.33877e-14
400.0,6.62778e-14
410.0,6.03305e-14
420.0,5.5078e-14
430.0,5.02442e-14
440.0,4.54098e-14
450.0,4.16586e-14
460.0,3.77095e-14
470.0,3.46051e-14
480.0,3.14688e-14
490.0,2.85492e-14
500.0,2.60466e-14
510.0,2.3648e-14
520.0,2.16958e-14
530.0,1.98119e-14
540.0,1.80498e-14
550.0,1.64265e-14
560.0,1.50473e-14
570.0,1.37196e-14
580.0,1.24829e-14
590.0,1.1462e-14
600.0,1.04885e-14
610.0,9.63897e-15
620.0,8.85412e-15
630.0,8.12647e-15
640.0,7.49448e-15
650.0,6.87859e-15
660.0,6.35122e-15
670.0,5.89018e-15
680.0,5.47129e-15
690.0,5.10156e-15
700.0,4.70373e-15
800.0,2.53991e-15
900.0,1.6671e-15
1000.0,1.37791e-15
1100.0,1.53672e-15
1200.0,1.86295e-15
1300.0,2.2064e-15
1400.0,2.47337e-15
1500.0,2.57578e-15
1600.0,3.05987e-15
1700.0,3.4458e-15
1800.0,3.50309e-15
1900.0,4.12741e-15
2000.0,4.3483e-15
2100.0,4.63206e-15
2200.0,4.35052e-15
2300.0,4.63047e-15
2400.0,4.91772e-15
2500.0,4.67364e-15
2600.0,4.65076e-15
2700.0,4.45121e-15
2800.0,4.28557e-15
2900.0,4.15745e-15
3000.0,4.06759e-15
========================================
singlet_W3_Energy_1_34.9759.out
2.0 atm
T,P1->W3
200.0,1.35861e-12
210.0,1.15948e-12
220.0,9.9411e-13
230.0,8.5647e-13
240.0,7.41116e-13
250.0,6.43805e-13
260.0,5.61487e-13
270.0,4.91453e-13
280.0,4.31664e-13
290.0,3.80386e-13
300.0,3.3623e-13
