Pressure (atm),Temperature (K),P1_SymmetryFactor_1_P1->P2
1.0,3000.0,0.9999954930625707
1.0,3100.0,0.9999956895341894
1.0,3200.0,0.9999958838384253
1.0,3300.0,0.9999960754778251
1.0,3400.0,0.9999962640730959
1.0,3500.0,0.999996449340331
1.0,3600.0,0.9999966310726496
1.0,3700.0,0.9999968091253579
1.0,3800.0,0.9999969834039226
1.0,3900.0,0.9999971538542061
1.0,4000.0,0.9999973204545202
5.0,200.0,1.000003209400181
5.0,210.0,0.999995776995887
5.0,220.0,0.9999927356907345
5.0,230.0,0.9999919514461282
5.0,240.0,0.9999922984155365
5.0,250.0,0.9999931811401712
5.0,260.0,0.9999942856117595
5.0,270.0,0.999995448013084
5.0,280.0,0.9999965848604605
5.0,290.0,0.999997655576943
5.0,300.0,0.9999986423620786
5.0,310.0,0.9999995393541801
5.0,320.0,1.0000003468089753
5.0,330.0,1.000001067992014
5.0,340.0,1.0000017075379586
5.0,350.0,1.0000022705994478
5.0,360.0,1.0000027624174435
5.0,370.0,1.0000031881135707
5.0,380.0,1.0000035525970155
5.0,390.0,1.0000038605287733
5.0,400.0,1.000004116313327
5.0,410.0,1.0000043241025032
5.0,420.0,1.0000044878040635
5.0,430.0,1.0000046110916276
5.0,440.0,1.0000046974145476
5.0,450.0,1.000004750007318
5.0,460.0,1.000004771898511
5.0,470.0,1.0000047659193692
5.0,480.0,1.0000047347121976
5.0,490.0,1.000004680738669
5.0,500.0,1.0000046062881098
5.0,510.0,1.0000045134857851
5.0,520.0,1.0000044043011862
5.0,530.0,1.0000042805562823
5.0,540.0,1.0000041439337015
5.0,550.0,1.0000039959847937
5.0,560.0,1.000003838137532
5.0,570.0,1.000003671704207
5.0,580.0,1.0000034978888797
5.0,590.0,1.000003317794564
5.0,600.0,1.0000031324301122
5.0,610.0,1.0000029427167876
5.0,620.0,1.000002749494515
5.0,630.0,1.0000025535277997
5.0,640.0,1.0000023555113196
5.0,650.0,1.0000021560751846
5.0,660.0,1.000001955789878
5.0,670.0,1.0000017551708835
5.0,680.0,1.0000015546830103
5.0,690.0,1.0000013547444235
5.0,700.0,1.0000011557304027
5.0,800.0,0.9999992746223046
5.0,900.0,0.9999976870745351
5.0,1000.0,0.9999964251986387
5.0,1100.0,0.999995459954274
5.0,1200.0,0.999994744891547
5.0,1300.0,0.9999942332795957
5.0,1400.0,0.9999938840084368
5.0,1500.0,0.999993662920593
5.0,1600.0,0.9999935424088494
5.0,1700.0,0.9999935004668974
5.0,1800.0,0.9999935196698371
5.0,1900.0,0.9999935862583609
5.0,2000.0,0.9999936893738455
5.0,2100.0,0.9999938204416227
5.0,2200.0,0.9999939726826256
5.0,2300.0,0.9999941407301749
5.0,2400.0,0.9999943203304512
5.0,2500.0,0.999994508108589
5.0,2600.0,0.9999947013858459
5.0,2700.0,0.9999948980363917
5.0,2800.0,0.9999950963748204
5.0,2900.0,0.9999952950675158
5.0,3000.0,0.9999954930625707
5.0,3100.0,0.9999956895341894
5.0,3200.0,0.9999958838384253
5.0,3300.0,0.9999960754778251
5.0,3400.0,0.9999962640730959
5.0,3500.0,0.999996449340331
5.0,3600.0,0.9999966310726496
5.0,3700.0,0.9999968091253579
5.0,3800.0,0.9999969834039226
5.0,3900.0,0.9999971538542061
5.0,4000.0,0.9999973204545202
20.0,200.0,1.000003209400181
20.0,210.0,0.999995776995887
20.0,220.0,0.9999927356907345
20.0,230.0,0.9999919514461282
20.0,240.0,0.9999922984155365
20.0,250.0,0.9999931811401712
20.0,260.0,0.9999942856117595
20.0,270.0,0.999995448013084
20.0,280.0,0.9999965848604605
20.0,290.0,0.999997655576943
20.0,300.0,0.9999986423620786
20.0,310.0,0.9999995393541801
20.0,320.0,1.0000003468089753
20.0,330.0,1.000001067992014
20.0,340.0,1.0000017075379586
20.0,350.0,1.0000022705994478
20.0,360.0,1.0000027624174435
20.0,370.0,1.0000031881135707
20.0,380.0,1.0000035525970155
20.0,390.0,1.0000038605287733
20.0,400.0,1.000004116313327
20.0,410.0,1.0000043241025032
20.0,420.0,1.0000044878040635
20.0,430.0,1.0000046110916276
20.0,440.0,1.0000046974145476
20.0,450.0,1.000004750007318
20.0,460.0,1.000004771898511
20.0,470.0,1.0000047659193692
20.0,480.0,1.0000047347121976
20.0,490.0,1.000004680738669
20.0,500.0,1.0000046062881098
20.0,510.0,1.0000045134857851
20.0,520.0,1.0000044043011862
20.0,530.0,1.0000042805562823
20.0,540.0,1.0000041439337015
20.0,550.0,1.0000039959847937
20.0,560.0,1.000003838137532
20.0,570.0,1.000003671704207
20.0,580.0,1.0000034978888797
20.0,590.0,1.000003317794564
20.0,600.0,1.0000031324301122
20.0,610.0,1.0000029427167876
20.0,620.0,1.000002749494515
20.0,630.0,1.0000025535277997
20.0,640.0,1.0000023555113196
20.0,650.0,1.0000021560751846
20.0,660.0,1.000001955789878
20.0,670.0,1.0000017551708835
20.0,680.0,1.0000015546830103
20.0,690.0,1.0000013547444235
20.0,700.0,1.0000011557304027
20.0,800.0,0.9999992746223046
20.0,900.0,0.9999976870745351
20.0,1000.0,0.9999964251986387
20.0,1100.0,0.999995459954274
20.0,1200.0,0.999994744891547
20.0,1300.0,0.9999942332795957
20.0,1400.0,0.9999938840084368
20.0,1500.0,0.999993662920593
20.0,1600.0,0.9999935424088494
20.0,1700.0,0.9999935004668974
20.0,1800.0,0.9999935196698371
20.0,1900.0,0.9999935862583609
20.0,2000.0,0.9999936893738455
20.0,2100.0,0.9999938204416227
20.0,2200.0,0.9999939726826256
20.0,2300.0,0.9999941407301749
20.0,2400.0,0.9999943203304512
20.0,2500.0,0.999994508108589
20.0,2600.0,0.9999947013858459
20.0,2700.0,0.9999948980363917
20.0,2800.0,0.9999950963748204
20.0,2900.0,0.9999952950675158
20.0,3000.0,0.9999954930625707
