    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1         W1->P2
             89    1.48436e+15              0    1.49465e+18     1.8532e+09
             90    1.58692e+15              0    1.46758e+18    2.06096e+09
             91    1.69542e+15              0    1.47497e+18    2.28334e+09
             92    1.81013e+15              0    1.46845e+18    2.52065e+09
             93    1.93133e+15              0    1.48188e+18    2.77322e+09
             94    2.05932e+15              0     1.4428e+18    3.04132e+09
             95    2.19442e+15              0    1.44783e+18    3.32522e+09
             96    2.33694e+15              0    1.45952e+18    3.62515e+09
             97    2.48721e+15              0    1.40777e+18    3.94131e+09
             98    2.64557e+15              0    1.43519e+18    4.27389e+09
             99    2.81238e+15              0    1.42386e+18    4.62306e+09
            100      2.988e+15              0    1.39235e+18    4.98896e+09
