    E, kcal/mol    D, mol/kcal         W1->P1
             16        65422.9    0.000121839
           16.1        65422.9    0.000150807
           16.2        67100.4    0.000181907
           16.3        67100.4    0.000224938
           16.4        68358.5    0.000272898
           16.5        69197.3    0.000333045
           16.6        69197.3    0.000411242
           16.7        72552.3    0.000484091
           16.8        72552.3    0.000597197
           16.9        72552.3     0.00073639
             17        79262.4    0.000830778
           17.1        79262.4     0.00102348
           17.2        79262.4     0.00126033
           17.3        84294.9     0.00145867
           17.4        84294.9     0.00179462
           17.5        84294.9     0.00220698
           17.6        87649.9     0.00260907
           17.7        87649.9     0.00320579
           17.8        87649.9     0.00393731
           17.9        89746.8     0.00472075
             18        89746.8     0.00579305
           18.1        91426.9     0.00697536
           18.2        92682.4     0.00843679
           18.3        92682.4      0.0103403
           18.4        97123.5      0.0120888
           18.5        97295.6       0.014778
           18.6        97295.6      0.0180901
           18.7         104844      0.0205419
           18.8         104844      0.0251258
           18.9         104844      0.0307205
             19         110716      0.0355551
           19.1         110716      0.0434382
           19.2         110716      0.0530485
           19.3         114909      0.0623967
           19.4         114909      0.0761432
           19.5         115329      0.0925452
           19.6         117845       0.110439
           19.7         117845       0.134618
           19.8         119965       0.161132
           19.9         121619       0.193594
             20         121619       0.235719
