Pressure (atm),Temperature (K),P1_SymmetryFactor_1_P1->W1,W2_Energy_1_P1->W1,B4_Energy_1_P1->W1,W1_Frequencies_1_P1->W1,P2_SymmetryFactor_1_P1->W1,W1_Energy_1_P1->W1,B5_Frequencies_1_P1->W1,P2_Energy_1_P1->W1,B4_Frequencies_1_P1->W1,P2_Frequencies_1_P1->W1,B4_SymmetryFactor_1_P1->W1,P1_Frequencies_1_P1->W1,W1_SymmetryFactor_1_P1->W1,B5_SymmetryFactor_1_P1->W1,B5_Energy_1_P1->W1,W2_Frequencies_1_P1->W1,W2_SymmetryFactor_1_P1->W1,P1_Energy_1_P1->W1
10.0,2385.0,0.9999997498482359,0.0,-0.2025316882252275,0.0,0.0,0.0,-0.1659950994178394,0.0,-3.727623951803849,0.0,-0.950962129525822,2.7311584270386806,0.0,-0.04489311421861603,-0.008313512696871358,0.0,0.0,0.21099375772997198
10.0,2390.0,0.9999997483484484,0.0,-0.20204705697276168,0.0,0.0,0.0,-0.16759300443597358,0.0,-3.727204312712438,0.0,-0.9505269314681325,2.733328425178158,0.0,-0.04529619484981109,-0.00835646262019221,0.0,0.0,0.2105523471924887
10.0,2395.0,0.9999997468617682,0.0,-0.20156434502968132,0.0,0.0,0.0,-0.1691892983220236,0.0,-3.7267805079017315,0.0,-0.9500922052262414,2.7354910928767655,0.0,-0.04569884331567421,-0.008399337455475487,0.0,0.0,0.21011277971023135
10.0,2400.0,0.9999997453880709,0.0,-0.20108354105021545,0.0,0.0,0.0,-0.1707839595820532,0.0,-3.726352600317084,0.0,-0.9496579562418771,2.737646465159195,0.0,-0.04610105451575353,-0.008442137021856467,0.0,0.0,0.2096750437640738
10.0,2405.0,0.9999997439272331,0.0,-0.20060463377755164,0.0,0.0,0.0,-0.17237696716280163,0.0,-3.725920652074084,0.0,-0.9492241898418835,2.739794576848423,0.0,-0.04650282345675538,-0.008484861145369803,0.0,0.0,0.20923912793068344
10.0,2410.0,0.999999742479133,0.0,-0.20012761204296797,0.0,0.0,0.0,-0.17396830044441722,0.0,-3.72548472447035,0.0,-0.9487909112401324,2.7419354625668757,0.0,-0.0469041452507607,-0.008527509658822685,0.0,0.0,0.20880502088152691
10.0,2415.0,0.99999974104365,0.0,-0.1996524647649776,0.0,0.0,0.0,-0.1755579392332751,0.0,-3.7250448779971177,0.0,-0.9483581255394053,2.7440691567375852,0.0,-0.047305015113475214,-0.008570082401668897,0.0,0.0,0.2083727113818901
10.0,2420.0,0.9999997396206652,0.0,-0.19917918094848017,0.0,0.0,0.0,-0.17714586375495833,0.0,-3.724601172350641,0.0,-0.9479258377332368,2.7461956935853564,0.0,-0.04770542836251051,-0.008612579219886632,0.0,0.0,0.20794218828990713
10.0,2425.0,0.9999997382100604,0.0,-0.1987077496839256,0.0,0.0,0.0,-0.17873205464733116,0.0,-3.724153666443425,0.0,-0.947494052707735,2.74831510713792,0.0,-0.048105380415684296,-0.008654999965857389,0.0,0.0,0.20751344055560436
10.0,2430.0,0.9999997368117193,0.0,-0.19823816014648618,0.0,0.0,0.0,-0.1803164929537473,0.0,-3.7237024184153005,0.0,-0.9470627752433656,2.750427431227084,0.0,-0.04850486678936616,-0.00869734449824752,0.0,0.0,0.2070864572199544
10.0,2435.0,0.9999997354255267,0.0,-0.19777040159524048,0.0,0.0,0.0,-0.1818991601163509,0.0,-3.7232474856442765,0.0,-0.9466320100167068,2.7525326994898833,0.0,-0.04890388309683614,-0.008739612681891537,0.0,0.0,0.2066612274139435
10.0,2440.0,0.9999997340513683,0.0,-0.1973044633723613,0.0,0.0,0.0,-0.18348003796951728,0.0,-3.722788924757277,0.0,-0.9462017616021713,2.7546309453697306,0.0,-0.04930242504668055,-0.008781804387678125,0.0,0.0,0.20623774035764733
10.0,2445.0,0.9999997326891318,0.0,-0.1968403349023193,0.0,0.0,0.0,-0.18505910873339923,0.0,-3.7223267916406644,0.0,-0.9457720344737087,2.7567222021175546,0.0,-0.049700488441208626,-0.008823919492437427,0.0,0.0,0.20581598535932177
10.0,2450.0,0.9999997313387053,0.0,-0.1963780056910927,0.0,0.0,0.0,-0.18663635500754341,0.0,-3.721861141450645,0.0,-0.9453428330064694,2.758806502792932,0.0,-0.0500980691749043,-0.008865957878830554,0.0,0.0,0.20539595181450246
10.0,2455.0,0.999999729999979,0.0,-0.1959174653253851,0.0,0.0,0.0,-0.18821175976468954,0.0,-3.721392028623468,0.0,-0.944914161478441,2.7608838802652347,0.0,-0.05049516323289472,-0.00890791943524193,0.0,0.0,0.20497762920511572
10.0,2460.0,0.9999997286728434,0.0,-0.19545870347185434,0.0,0.0,0.0,-0.18978530634459423,0.0,-3.720919506885496,0.0,-0.9444860240720618,2.7629543672147547,0.0,-0.05089176668944991,-0.008949804055671556,0.0,0.0,0.20456100709860145
10.0,2465.0,0.9999997273571908,0.0,-0.19500170987634827,0.0,0.0,0.0,-0.19135697844801924,0.0,-3.7204436292631047,0.0,-0.9440584248758084,2.765017996133829,0.0,-0.05128787570650823,-0.008991611639631667,0.0,0.0,0.20414607514704414
10.0,2470.0,0.9999997260529144,0.0,-0.19454647436315198,0.0,0.0,0.0,-0.19292676013077834,0.0,-3.719964448092445,0.0,-0.9436313678857473,2.7670747993279616,0.0,-0.05168348653222409,-0.009033342092043086,0.0,0.0,0.2037328230863188
10.0,2475.0,0.9999997247599088,0.0,-0.19409298683423995,0.0,0.0,0.0,-0.19449463579791068,0.0,-3.719482015029036,0.0,-0.9432048570070699,2.7691248089169487,0.0,-0.05207859549954203,-0.009074995323134402,0.0,0.0,0.20332124073524183
10.0,2480.0,0.9999997234780696,0.0,-0.19364123726854013,0.0,0.0,0.0,-0.19606059019794542,0.0,-3.718996381057222,0.0,-0.9427788960555956,2.7711680568359807,0.0,-0.0524731990247917,-0.009116571248343185,0.0,0.0,0.2029113179947373
10.0,2485.0,0.9999997222072936,0.0,-0.19319121572120232,0.0,0.0,0.0,-0.19762460841726834,0.0,-3.7185075964994745,0.0,-0.9423534887592542,2.7732045748367713,0.0,-0.05286729360631382,-0.009158069788218292,0.0,0.0,0.202503044847008
10.0,2490.0,0.9999997209474785,0.0,-0.19274291232288118,0.0,0.0,0.0,-0.19918667587454292,0.0,-3.718015711025574,0.0,-0.9419286387595402,2.7752343944886353,0.0,-0.0532608758230961,-0.009199490868324027,0.0,0.0,0.20209641135472375
10.0,2495.0,0.9999997196985233,0.0,-0.19229631727901933,0.0,0.0,0.0,-0.20074677831529578,0.0,-3.717520773661613,0.0,-0.941504349612943,2.7772575471796195,0.0,-0.053653942333448224,-0.009240834419146384,0.0,0.0,0.20169140766021015
10.0,2500.0,0.9999997184603279,0.0,-0.1918514208691452,0.0,0.0,0.0,-0.20230490180652796,0.0,-3.7170228327988992,0.0,-0.9410806247923561,2.779274064117578,0.0,-0.054046489873685905,-0.009282100376000461,0.0,0.0,0.20128802398465565
10.0,2505.0,0.9999997172327936,0.0,-0.1914082134461751,0.0,0.0,0.0,-0.2038610327314344,0.0,-3.716521936202715,0.0,-0.9406574676884579,2.7812839763312716,0.0,-0.05443851525684214,-0.009323288678939858,0.0,0.0,0.20088625062732246
10.0,2510.0,0.9999997160158227,0.0,-0.19096668543572498,0.0,0.0,0.0,-0.20541515778424618,0.0,-3.7160181310209057,0.0,-0.9402348816110752,2.783287314671456,0.0,-0.05483001537140029,-0.009364399272667313,0.0,0.0,0.2004860779647709
10.0,2515.0,0.9999997148093183,0.0,-0.19052682733542828,0.0,0.0,0.0,-0.20696726396510337,0.0,-3.715511463792386,0.0,-0.9398128697905183,2.7852841098119625,0.0,-0.055220987180047594,-0.009405432106447498,0.0,0.0,0.20008749645008864
10.0,2520.0,0.9999997136131844,0.0,-0.19008862971426327,0.0,0.0,0.0,-0.20851733857504778,0.0,-3.7150019804555074,0.0,-0.9393914353788991,2.787274392250776,0.0,-0.055611427718449125,-0.0094463871340202,0.0,0.0,0.19969049661213337
