    E, kcal/mol    D, mol/kcal         W1->P1
           14.1        45712.2    1.44707e-12
           14.2          47809    1.67645e-12
           14.3          47809    2.03026e-12
           14.4          47809    2.45752e-12
           14.5        49067.2    2.89698e-12
           14.6        49067.2    3.50319e-12
           14.7        49905.9    4.16305e-12
           14.8        50325.3    4.98743e-12
           14.9        50325.3     6.0224e-12
             15        52841.6     6.9226e-12
           15.1        52841.6    8.35132e-12
           15.2        52841.6    1.00702e-11
           15.3        58712.9    1.09237e-11
           15.4        58712.9    1.31601e-11
           15.5        58712.9    1.58471e-11
           15.6        62906.6    1.78028e-11
           15.7        62906.6    2.14188e-11
           15.8        62906.6     2.5758e-11
           15.9        65422.9    2.97719e-11
             16        65422.9    3.57724e-11
           16.1        65422.9    4.29639e-11
           16.2        67100.4    5.02898e-11
           16.3        67100.4    6.03489e-11
           16.4        68358.5    7.10575e-11
           16.5        69197.3    8.41671e-11
           16.6        69197.3    1.00877e-10
           16.7        72552.3    1.15267e-10
           16.8        72552.3     1.3804e-10
           16.9        72552.3    1.65246e-10
             17        79262.4    1.80996e-10
           17.1        79262.4    2.16497e-10
           17.2        79262.4    2.58861e-10
           17.3        84294.9    2.90923e-10
           17.4        84294.9    3.47582e-10
           17.5        84294.9    4.15117e-10
           17.6        87649.9    4.76617e-10
           17.7        87649.9    5.68795e-10
           17.8        87649.9    6.78548e-10
           17.9        89746.8    7.90274e-10
             18        89746.8    9.42069e-10
           18.1        91426.9    1.10198e-09
           18.2        92682.4    1.29492e-09
           18.3        92682.4    1.54198e-09
           18.4        97123.5    1.75159e-09
           18.5        97295.6    2.08061e-09
           18.6        97295.6    2.47494e-09
           18.7         104844     2.7311e-09
           18.8         104844    3.24647e-09
           18.9         104844    3.85778e-09
             19         110716    4.33961e-09
           19.1         110716    5.15326e-09
           19.2         110716     6.1174e-09
           19.3         114909    6.99458e-09
           19.4         114909    8.29773e-09
           19.5         115329    9.80462e-09
           19.6         117845    1.13755e-08
           19.7         117845    1.34817e-08
           19.8         119965    1.56904e-08
           19.9         121619    1.83307e-08
             20         121619    2.17038e-08
