*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P         *E/F           *P
            K          atm        1/sec                         0            0            1            1
         1585           10   1.7766e+10      99.4991      1.04265     0.998985      1.10484     0.999199
         1590           10  1.77295e+10      39.5152      2.05542     0.999791       2.1521     0.999836
         1595           10  1.76932e+10      29.7356      2.53843     0.999882       2.7023     0.999913
         1600           10   1.7657e+10      160.122      4.44622     0.998584       5.0487     0.998216
         1605           10  1.76211e+10      80.4185      1.25656     0.999344      1.32937     0.999486
         1610           10  1.75853e+10      28.0137      2.82515     0.999916      3.01269     0.999938
         1615           10  1.75497e+10      20.1241      3.78918      0.99997      4.05857     0.999979
         1620           10  1.75144e+10      140.653      1.64227     0.998914      1.70376     0.998622
         1625           10  1.74792e+10      67.6813      1.48146     0.999558      1.57346     0.999659
         1630           10  1.74441e+10      55.1371      1.75337     0.999703      1.85901     0.999772
         1635           10  1.74093e+10      229.333      15.1779     0.998151        17.78     0.997665
         1640           10  1.73746e+10      128.798     0.982584      0.99889       1.0482     0.999131
         1645           10  1.73401e+10      59.9983      1.70091     0.999687      1.81345     0.999762
         1650           10  1.73058e+10      48.4394      2.02678     0.999797      2.14429     0.999845
         1655           10  1.72717e+10      220.729       12.222     0.998374      14.2547     0.997941
         1660           10  1.72377e+10      123.523      1.04663     0.999055      1.11639     0.999262
         1665           10   1.7204e+10       56.748      1.87231     0.999756      1.97311     0.999811
         1670           10  1.71703e+10      45.7435      2.27879     0.999853      2.36851     0.999883
         1675           10  1.71369e+10       221.16       11.184     0.998503      13.0427     0.998105
         1680           10  1.71036e+10      124.487      1.08532     0.999142      1.15361     0.999327
         1685           10  1.70705e+10      57.7685       1.9297     0.999779      2.05358     0.999833
         1690           10  1.70376e+10      46.8909      2.33861     0.999866       2.4661     0.999898
         1695           10  1.70048e+10      230.741      11.9214     0.998557      13.8731     0.998165
         1700           10  1.69722e+10      131.839      1.08137      0.99915      1.15391     0.999338
         1705           10  1.69397e+10      63.2609      1.90732     0.999776       2.0005     0.999825
         1710           10  1.69074e+10      52.1037      2.25339     0.999855      2.36235     0.999887
         1715           10  1.68752e+10      250.645      14.5414     0.998538       17.031     0.998144
         1720           10  1.68433e+10      146.236      1.04835     0.999101      1.11983       0.9993
         1725           10  1.68114e+10      129.425       1.1505     0.999275      1.22157     0.999433
         1730           10  1.67798e+10      61.9498      2.03421     0.999815       2.1639      0.99986
         1735           10  1.67482e+10      283.369      19.8536     0.998451      23.3347     0.998031
         1740           10  1.67169e+10      169.102      1.77451     0.999214      1.83389     0.998993
         1745           10  1.66856e+10      151.129      1.07252     0.999162      1.14555     0.999349
         1750           10  1.66546e+10      77.4742      1.79022     0.999749      1.88996     0.999806
         1755           10  1.66237e+10      28.1925      4.23854     0.999984       4.5186     0.999989
         1760           10  1.65929e+10      203.125      4.79601     0.999075      5.43132      0.99882
         1765           10  1.65623e+10      183.124      2.56794     0.999216      2.77041     0.998995
         1770           10  1.65318e+10      100.299       1.5162     0.999633      1.60816     0.999716
         1775           10  1.65014e+10      43.0843      3.13834      0.99995       3.3363     0.999964
         1780           10  1.64712e+10      251.648      10.9134     0.998881      12.6879     0.998571
         1785           10  1.64412e+10      229.151       7.2053     0.999029       8.2571     0.998755
         1790           10  1.64113e+10      133.053      1.27206     0.999456      1.35891     0.999581
         1795           10  1.63815e+10      66.0198      2.26204     0.999868      2.40118     0.999901
         1800           10  1.63519e+10      319.932       22.674     0.998629      26.6664     0.998251
         1805           10  1.63224e+10      293.951       17.164     0.998783      20.0655     0.998442
         1810           10   1.6293e+10      179.156      1.26383     0.999209      1.30792     0.999385
         1815           10  1.62638e+10      99.1719      1.67854     0.999723      1.79259      0.99979
         1820           10  1.62347e+10      86.8021      1.90071     0.999797      2.02181     0.999846
         1825           10  1.62057e+10      34.6052      4.34061     0.999987      4.62618     0.999991
         1830           10  1.61769e+10      245.342      7.52838     0.999125      8.63854     0.998876
         1835           10  1.61482e+10      146.412      1.29395     0.999494      1.38015      0.99961
         1840           10  1.61196e+10      131.561      1.41203      0.99959      1.50675     0.999685
         1845           10  1.60912e+10      65.4765      2.59987     0.999915      2.75421     0.999936
         1850           10  1.60629e+10      339.795      22.9026     0.998792      26.9464     0.998454
         1855           10  1.60347e+10      214.698      3.27948     0.999351      3.59412     0.999164
         1860           10  1.60067e+10      196.083      1.54575     0.999281      1.55386     0.999443
         1865           10  1.59787e+10      111.858      1.68916     0.999738      1.80892     0.999803
         1870           10  1.59509e+10      52.0246      3.50682     0.999969      3.62313     0.999975
         1875           10  1.59232e+10      314.865       16.223     0.999004      18.9616     0.998721
         1880           10  1.58957e+10      291.112      12.0065     0.999114      13.9795     0.998862
         1885           10  1.58682e+10      179.861      1.22265     0.999442      1.30555      0.99957
         1890           10  1.58409e+10      100.951      1.96579     0.999824      2.07427     0.999864
         1895           10  1.58137e+10      45.1275      4.26998     0.999987      4.56151     0.999991
         1900           10  1.57867e+10      37.5218      5.21666     0.999995      5.50325     0.999997
         1905           10  1.57597e+10      282.395      9.27896     0.999235      10.6809     0.999011
         1910           10  1.57329e+10       174.39      1.30919     0.999534      1.39362     0.999639
         1915           10  1.57062e+10        98.05      2.12616      0.99986        2.266     0.999895
         1920           10  1.56795e+10      87.1077      2.38132     0.999897      2.53022     0.999923
         1925           10  1.56531e+10      433.738      36.8464     0.998776       44.138     0.998449
         1930           10  1.56267e+10      288.058      8.79264     0.999292      10.1237     0.999086
         1935           10  1.56004e+10      267.989      6.19747     0.999371      7.05086     0.999188
         1940           10  1.55743e+10      165.065      1.43919     0.999636      1.53694     0.999721
         1945           10  1.55482e+10      91.3332      2.41679     0.999904      2.56813     0.999928
         1950           10  1.55223e+10      459.603      40.2224     0.998801      48.2838     0.998481
         1955           10  1.54965e+10      432.851      33.6111     0.998913      40.0121     0.998613
         1960           10  1.54708e+10       288.46      7.52475     0.999374      8.61495     0.999189
         1965           10  1.54452e+10      180.597      1.40754     0.999623      1.49827     0.999709
         1970           10  1.54197e+10      103.657      2.28667      0.99989      2.41809     0.999916
         1975           10  1.53943e+10      93.0529      2.53744     0.999918      2.70434      0.99994
         1980           10   1.5369e+10      478.609      41.4103     0.998871      49.7756      0.99857
         1985           10  1.53439e+10      325.878       11.283     0.999333      13.0979     0.999138
         1990           10  1.53188e+10      209.393      1.31859     0.999566      1.40833     0.999668
         1995           10  1.52938e+10       193.84       1.4092     0.999631      1.50027     0.999716
         2000           10   1.5269e+10       113.34      2.24354     0.999886      2.39224     0.999915
         2005           10  1.52442e+10      54.9774      4.61495     0.999992      4.91394     0.999995
         2010           10  1.52196e+10      384.658      18.9812     0.999249      22.1949     0.999026
         2015           10   1.5195e+10      362.069      15.0675     0.999319      17.5875     0.999118
         2020           10  1.51706e+10      236.694      1.30723     0.999539      1.38657     0.999645
         2025           10  1.51462e+10      145.061      1.88148     0.999823      2.01681     0.999868
         2030           10   1.5122e+10      133.848      2.05048     0.999859      2.17011     0.999892
         2035           10  1.50978e+10      69.9541      3.93045     0.999983      4.19053     0.999988
         2040           10  1.50738e+10      443.884      27.4858     0.999189       32.515     0.998956
         2045           10  1.50498e+10      300.785      5.56826     0.999536      6.27563     0.999397
         2050           10   1.5026e+10      283.049      3.95035     0.999586       4.3361     0.999459
         2055           10  1.50022e+10      179.325      1.66826     0.999765      1.77473     0.999821
         2060           10  1.49786e+10      103.975      2.79714     0.999943      2.94191     0.999956
         2065           10   1.4955e+10      557.603      49.9938      0.99899      60.5517     0.998724
         2070           10  1.49315e+10      533.333       43.739     0.999068      52.5942     0.998814
         2075           10  1.49081e+10       373.88      13.0157     0.999439      15.1388     0.999271
         2080           10  1.48849e+10      247.821      1.35972      0.99962      1.45453     0.999711
         2085           10  1.48617e+10      154.695      2.00145     0.999856       2.1459     0.999893
         2090           10  1.48386e+10      143.863      2.17468     0.999884      2.30642     0.999912
         2095           10  1.48155e+10      78.3619      4.05974     0.999986       4.3189      0.99999
         2100           10  1.47926e+10      501.767       33.276     0.999237        39.54     0.999018
         2105           10  1.47698e+10      349.405       8.1598      0.99955      9.31915     0.999412
         2110           10  1.47471e+10      331.675      6.20294     0.999591      7.02341     0.999468
         2115           10  1.47244e+10      217.102      1.59218     0.999747      1.69869     0.999808
         2120           10  1.47018e+10      133.029      2.49619     0.999923      2.64134     0.999942
         2125           10  1.46794e+10      122.996      2.70373     0.999939      2.87374     0.999955
         2130           10   1.4657e+10      652.003       64.615     0.999006      79.0236     0.998751
         2135           10  1.46347e+10      474.982      24.8462     0.999382      29.2169     0.999196
         2140           10  1.46125e+10      329.197      4.94605     0.999645      5.51417     0.999536
         2145           10  1.45903e+10      311.939      3.45563     0.999681      3.73288     0.999581
         2150           10  1.45683e+10      204.104      1.78164     0.999814      1.90093     0.999859
         2155           10  1.45463e+10      124.097      2.89133     0.999952      3.04775     0.999964
         2160           10  1.45245e+10      674.375      65.5848     0.999066      80.1863     0.998823
         2165           10  1.45027e+10      650.742      59.2595     0.999129      72.1381     0.998898
         2170           10   1.4481e+10      475.538      21.9912     0.999457      25.7381     0.999291
         2175           10  1.44593e+10      330.853      4.01911     0.999692      4.38894     0.999594
         2180           10  1.44378e+10      218.648      1.77479     0.999816       1.8963     0.999861
         2185           10  1.44163e+10      206.902      1.87512      0.99984      1.99916     0.999879
         2190           10   1.4395e+10      126.805      3.06687     0.999961      3.22395     0.999971
         2195           10  1.43737e+10      705.514      68.0189      0.99912      83.2939     0.998891
         2200           10  1.43525e+10      523.082      27.4735     0.999446      32.3063     0.999277
         2205           10  1.43313e+10      503.589       23.773     0.999484      27.9123     0.999326
         2210           10  1.43103e+10      354.926      4.79048     0.999702       5.3005     0.999608
         2215           10  1.42893e+10      237.953      1.75884     0.999816      1.87955     0.999861
         2220           10  1.42684e+10      225.401      1.85658      0.99984      1.97822     0.999879
         2225           10  1.42475e+10      141.929      2.90046     0.999955      3.08982     0.999967
         2230           10  1.42268e+10      773.578       79.554     0.999109      98.1228     0.998883
         2235           10  1.42061e+10      581.877       34.949      0.99943      41.5384     0.999262
         2240           10  1.41855e+10      561.359      30.6543     0.999469      36.2543     0.999309
         2245           10   1.4165e+10      404.704      7.73749     0.999681      8.80019     0.999581
         2250           10  1.41446e+10      277.274      1.65173     0.999789      1.76054      0.99984
         2255           10  1.41242e+10      180.657      2.44336     0.999925      2.57848     0.999943
         2260           10  1.41039e+10      170.803        2.592     0.999937      2.76635     0.999954
         2265           10  1.40837e+10      101.464      4.77842     0.999994      4.91753     0.999995
         2270           10  1.40636e+10      678.117      50.7197     0.999368      61.2922     0.999192
         2275           10  1.40435e+10      503.174      18.0381     0.999604      21.0788     0.999481
         2280           10  1.40235e+10      485.222       15.319     0.999632      17.7969     0.999516
         2285           10  1.40036e+10      343.476      1.87961      0.99973      1.92357     0.999796
         2290           10  1.39837e+10      231.407      2.05657     0.999883      2.19033     0.999912
         2295           10  1.39639e+10      147.357      3.26261     0.999971      3.45619     0.999979
         2300           10  1.39442e+10       139.03      3.48954     0.999977      3.70292     0.999984
         2305           10  1.39246e+10      821.681      78.9867     0.999251      97.1141     0.999055
         2310           10   1.3905e+10      626.343      35.2378     0.999517      41.8133     0.999372
         2315           10  1.38855e+10      461.122       10.075     0.999704      11.5547      0.99961
         2320           10  1.38661e+10      444.992      8.24664     0.999725      9.40047     0.999638
         2325           10  1.38467e+10      312.265      1.69681     0.999812      1.81372     0.999858
         2330           10  1.38274e+10      208.875      2.43584     0.999928      2.57972     0.999946
         2335           10  1.38082e+10       199.16      2.57196     0.999939      2.73655     0.999955
         2340           10   1.3789e+10      123.765      4.36817     0.999991      4.65148     0.999994
         2345           10  1.37699e+10      803.951      68.1222     0.999372      83.2112     0.999202
         2350           10  1.37509e+10      613.191      28.7378     0.999597       33.775     0.999471
         2355           10   1.3732e+10      595.372      25.4871     0.999621      29.8978     0.999501
         2360           10  1.37131e+10      436.554      5.94217     0.999774      6.64868     0.999701
         2365           10  1.36943e+10      306.946      1.83289     0.999849      1.95722     0.999887
         2370           10  1.36755e+10      205.785      2.65667     0.999946       2.8432     0.999961
         2375           10  1.36568e+10      196.812      2.81306     0.999955      2.97961     0.999966
         2380           10  1.36382e+10      123.107       4.9545     0.999996      5.17526     0.999997
         2385           10  1.36196e+10      830.449      67.7791     0.999426      82.7502     0.999269
         2390           10  1.36011e+10      637.544      28.8595      0.99963      33.9194     0.999514
         2395           10  1.35827e+10       620.78      25.7844     0.999651      30.2416      0.99954
         2400           10  1.35643e+10      460.494      6.27391     0.999789      7.03025     0.999721
         2405           10   1.3546e+10      326.529      1.86011     0.999858      1.98354     0.999893
         2410           10  1.35278e+10      221.819      2.66835     0.999948       2.8386     0.999962
         2415           10  1.35096e+10      213.056      2.80058     0.999955      2.98721     0.999967
         2420           10  1.34915e+10      136.165      4.65886     0.999994      4.91475     0.999996
         2425           10  1.34734e+10      904.851      78.1176     0.999428      95.7506     0.999273
         2430           10  1.34554e+10      885.484      73.1245     0.999456      89.5686     0.999308
         2435           10  1.34375e+10      686.354      32.4426     0.999646      38.3455     0.999535
         2440           10  1.34196e+10      517.938       9.3737      0.99978      10.6835     0.999708
         2445           10  1.34018e+10      374.981      1.76777     0.999842      1.89384     0.999882
         2450           10   1.3384e+10      363.344      1.83216     0.999856      1.95691     0.999892
         2455           10  1.33663e+10      251.119       2.5623     0.999943      2.71793     0.999957
         2460           10  1.33487e+10      166.005      4.05018     0.999989      4.20663     0.999991
         2465           10  1.33311e+10      1036.61      101.232      0.99938       125.46     0.999219
         2470           10  1.33136e+10      1017.08      96.1155     0.999408      119.026     0.999253
         2475           10  1.32961e+10      800.213      48.3508     0.999607      58.0481     0.999489
         2480           10  1.32787e+10       617.03      18.1453     0.999747      21.0961     0.999664
