    E, kcal/mol    D, mol/kcal         W1->P1
           14.3          47809    4.13811e-08
           14.4          47809    5.27922e-08
           14.5        49067.2    6.55825e-08
           14.6        49067.2    8.35645e-08
           14.7        49905.9    1.04624e-07
           14.8        50325.3     1.3204e-07
           14.9        50325.3     1.6794e-07
             15        52841.6     2.0331e-07
           15.1        52841.6    2.58285e-07
           15.2        52841.6    3.27935e-07
           15.3        58712.9    3.74514e-07
           15.4        58712.9    4.74963e-07
           15.5        58712.9    6.02013e-07
           15.6        62906.6    7.11779e-07
           15.7        62906.6    9.01172e-07
           15.8        62906.6    1.14033e-06
           15.9        65422.9    1.38671e-06
             16        65422.9    1.75282e-06
           16.1        65422.9     2.2144e-06
           16.2        67100.4    2.72614e-06
           16.3        67100.4    3.44039e-06
           16.4        68358.5    4.25964e-06
           16.5        69197.3    5.30499e-06
           16.6        69197.3    6.68449e-06
           16.7        72552.3    8.02914e-06
           16.8        72552.3    1.01068e-05
           16.9        72552.3    1.27156e-05
             17        79262.4    1.46363e-05
           17.1        79262.4    1.83961e-05
           17.2        79262.4    2.31105e-05
           17.3        84294.9    2.72864e-05
           17.4        84294.9    3.42459e-05
           17.5        84294.9    4.29599e-05
           17.6        87649.9    5.18037e-05
           17.7        87649.9    6.49239e-05
           17.8        87649.9     8.1329e-05
           17.9        89746.8    9.94529e-05
             18        89746.8    0.000124468
           18.1        91426.9    0.000152842
           18.2        92682.4    0.000188523
           18.3        92682.4     0.00023562
           18.4        97123.5    0.000280893
           18.5        97295.6    0.000350134
           18.6        97295.6    0.000437024
           18.7         104844    0.000505982
           18.8         104844    0.000630998
           18.9         104844    0.000786564
             19         110716    0.000928091
           19.1         110716     0.00115592
           19.2         110716     0.00143906
           19.3         114909     0.00172546
           19.4         114909     0.00214632
           19.5         115329     0.00265903
           19.6         117845     0.00323433
           19.7         117845     0.00401829
           19.8         119965     0.00490206
           19.9         121619     0.00600257
             20         121619     0.00744854
